nodeName	altName	nodeAttr[nodesPresent, ]
LOC143273053	LOC143273053	skyblue4
LOC143267406	LOC143267406	skyblue4
LOC143271736	LOC143271736	skyblue4
LOC143271877	LOC143271877	skyblue4
LOC143271876	LOC143271876	skyblue4
LOC143272495	LOC143272495	skyblue4
LOC102914621	LOC102914621	skyblue4
LOC143272886	LOC143272886	skyblue4
LOC143272902	LOC143272902	skyblue4
LOC143272968	LOC143272968	skyblue4
LOC143273399	LOC143273399	skyblue4
LOC143273217	LOC143273217	skyblue4
LOC143273786	LOC143273786	skyblue4
LOC143274376	LOC143274376	skyblue4
LOC143267458	LOC143267458	skyblue4
LOC143267636	LOC143267636	skyblue4
LOC143267878	LOC143267878	skyblue4
LOC143267750	LOC143267750	skyblue4
LOC143267791	LOC143267791	skyblue4
LOC143267799	LOC143267799	skyblue4
LOC143267800	LOC143267800	skyblue4
LOC143268133	LOC143268133	skyblue4
LOC102905860	LOC102905860	skyblue4
Poglut2	Poglut2	skyblue4
LOC143268529	LOC143268529	skyblue4
LOC143268418	LOC143268418	skyblue4
Ddx4	Ddx4	skyblue4
Ankrd31	Ankrd31	skyblue4
LOC143268722	LOC143268722	skyblue4
LOC143269152	LOC143269152	skyblue4
LOC143269542	LOC143269542	skyblue4
LOC143269727	LOC143269727	skyblue4
Rab36	Rab36	skyblue4
Rpl31	Rpl31	skyblue4
Spats1	Spats1	skyblue4
LOC143270323	LOC143270323	skyblue4
LOC102926763	LOC102926763	skyblue4
Tex11	Tex11	skyblue4
LOC143270660	LOC143270660	skyblue4
LOC143270929	LOC143270929	skyblue4
