fromNode	toNode	weight	direction	fromAltName	toAltName
Ttyh1	Apoe	0.162141121995935	undirected	Ttyh1	Apoe
Ttyh1	Axl	0.103429223857898	undirected	Ttyh1	Axl
Ttyh1	Fcgrt	0.116745066482795	undirected	Ttyh1	Fcgrt
Ttyh1	Lgi4	0.117317256981099	undirected	Ttyh1	Lgi4
Ttyh1	Cdkn1c	0.108284956233031	undirected	Ttyh1	Cdkn1c
Ttyh1	Cyb561a3	0.103760698152565	undirected	Ttyh1	Cyb561a3
Ttyh1	Add3	0.105401600420522	undirected	Ttyh1	Add3
Ttyh1	Plpp3	0.124799449694806	undirected	Ttyh1	Plpp3
Ttyh1	Fgr	0.105343282645513	undirected	Ttyh1	Fgr
Ttyh1	Id3	0.123745093235137	undirected	Ttyh1	Id3
Ttyh1	C1qc	0.113586100168531	undirected	Ttyh1	C1qc
Ttyh1	Padi2	0.105424532231219	undirected	Ttyh1	Padi2
Ttyh1	Agtrap	0.101052017899856	undirected	Ttyh1	Agtrap
Ttyh1	Tmem176b	0.107498045054205	undirected	Ttyh1	Tmem176b
Ttyh1	Ltbr	0.103215298295235	undirected	Ttyh1	Ltbr
Ttyh1	Emp1	0.100512431869726	undirected	Ttyh1	Emp1
Ttyh1	Ptgds	0.103082531852969	undirected	Ttyh1	Ptgds
Ttyh1	Snta1	0.129039140015808	undirected	Ttyh1	Snta1
Ttyh1	Crispld2	0.100539296266597	undirected	Ttyh1	Crispld2
Ttyh1	Tifab	0.101671496840768	undirected	Ttyh1	Tifab
Ttyh1	Anxa5	0.153982515103606	undirected	Ttyh1	Anxa5
Ttyh1	Olfml3	0.125567045779146	undirected	Ttyh1	Olfml3
Ttyh1	Rhoc	0.102097638610424	undirected	Ttyh1	Rhoc
Ttyh1	Cnn3	0.116776876498082	undirected	Ttyh1	Cnn3
Ttyh1	Kank2	0.118680147812557	undirected	Ttyh1	Kank2
Ttyh1	Islr	0.116067661701205	undirected	Ttyh1	Islr
Ttyh1	Tipin	0.101642430596621	undirected	Ttyh1	Tipin
Ttyh1	Lamb2	0.112554088573455	undirected	Ttyh1	Lamb2
Ttyh1	Tgfbr2	0.106483272073183	undirected	Ttyh1	Tgfbr2
Ttyh1	LOC102925207	0.118156953360771	undirected	Ttyh1	LOC102925207
Ttyh1	LOC102924685	0.112445812936119	undirected	Ttyh1	LOC102924685
Ttyh1	Gm2a	0.136169789187504	undirected	Ttyh1	Gm2a
Ttyh1	Srebf1	0.115989563296897	undirected	Ttyh1	Srebf1
Ttyh1	Cavin1	0.10680489062045	undirected	Ttyh1	Cavin1
Ttyh1	Fzd2	0.104726727268834	undirected	Ttyh1	Fzd2
Ttyh1	Gfap	0.101774305287148	undirected	Ttyh1	Gfap
Ttyh1	Clu	0.163264524589692	undirected	Ttyh1	Clu
Ttyh1	Tcn2	0.115651144729871	undirected	Ttyh1	Tcn2
Ttyh1	Fmod	0.118455864491235	undirected	Ttyh1	Fmod
Ttyh1	Fcer1g	0.121824532958833	undirected	Ttyh1	Fcer1g
Ttyh1	Prodh	0.103171843628756	undirected	Ttyh1	Prodh
Ttyh1	Itgb5	0.102498436062529	undirected	Ttyh1	Itgb5
Ttyh1	Hcls1	0.104558355988353	undirected	Ttyh1	Hcls1
Ttyh1	Pros1	0.102392627783249	undirected	Ttyh1	Pros1
Ttyh1	Ctdsp1	0.141518124519606	undirected	Ttyh1	Ctdsp1
Ttyh1	Slc1a3	0.101835670582709	undirected	Ttyh1	Slc1a3
Ttyh1	Cpe	0.117434138541822	undirected	Ttyh1	Cpe
Ttyh1	Fbln1	0.121110895137848	undirected	Ttyh1	Fbln1
Ttyh1	Bin2	0.10526248876304	undirected	Ttyh1	Bin2
Ttyh1	Ppp1r18	0.107360688898718	undirected	Ttyh1	Ppp1r18
Ttyh1	Aif1	0.102977970503347	undirected	Ttyh1	Aif1
Ttyh1	Icoslg	0.108846011162446	undirected	Ttyh1	Icoslg
Ttyh1	Tmem119	0.102157912334425	undirected	Ttyh1	Tmem119
Ttyh1	Slc8b1	0.1115167434532	undirected	Ttyh1	Slc8b1
Ttyh1	Ndp	0.101129698974493	undirected	Ttyh1	Ndp
LOC107400190	Apoe	0.112245744473162	undirected	LOC107400190	Apoe
LOC107400190	Fcgrt	0.111941583788121	undirected	LOC107400190	Fcgrt
LOC107400190	Emp3	0.147967426264016	undirected	LOC107400190	Emp3
LOC107400190	Fam174b	0.143331657496879	undirected	LOC107400190	Fam174b
LOC107400190	Cemip	0.115015385773271	undirected	LOC107400190	Cemip
LOC107400190	LOC102928591	0.126189149628888	undirected	LOC107400190	LOC102928591
LOC107400190	Igf2	0.114821310900289	undirected	LOC107400190	Igf2
LOC107400190	Cdkn1c	0.165198727991562	undirected	LOC107400190	Cdkn1c
LOC107400190	Slc22a8	0.115776726517267	undirected	LOC107400190	Slc22a8
LOC107400190	LOC107399749	0.10140394601262	undirected	LOC107400190	LOC107399749
LOC107400190	Slc22a6	0.15265913252667	undirected	LOC107400190	Slc22a6
LOC107400190	LOC102917860	0.107974655528931	undirected	LOC107400190	LOC102917860
LOC107400190	Pgm5	0.170073848846443	undirected	LOC107400190	Pgm5
LOC107400190	Acta2	0.148154207674447	undirected	LOC107400190	Acta2
LOC107400190	Marveld1	0.103466644246625	undirected	LOC107400190	Marveld1
