nodeName	altName	nodeAttr[nodesPresent, ]
LOC102905670	LOC102905670	blue2
Mrpl43	Mrpl43	blue2
LOC121828787	LOC121828787	blue2
LOC121829947	LOC121829947	blue2
Cage1	Cage1	blue2
LOC102921252	LOC102921252	blue2
LOC121830097	LOC121830097	blue2
Cwf19l2	Cwf19l2	blue2
LOC102928241	LOC102928241	blue2
LOC143274173	LOC143274173	blue2
LOC102928525	LOC102928525	blue2
Tmem123	Tmem123	blue2
Birc3	Birc3	blue2
Bkgd	Bkgd	blue2
LOC121831238	LOC121831238	blue2
LOC102921577	LOC102921577	blue2
Naalad2	Naalad2	blue2
Znf317	Znf317	blue2
LOC143274191	LOC143274191	blue2
LOC121830751	LOC121830751	blue2
LOC143274195	LOC143274195	blue2
Tmed1	Tmed1	blue2
Swsap1	Swsap1	blue2
LOC121830763	LOC121830763	blue2
Elof1	Elof1	blue2
LOC143274198	LOC143274198	blue2
LOC143274199	LOC143274199	blue2
LOC143274170	LOC143274170	blue2
LOC121830772	LOC121830772	blue2
LOC143274098	LOC143274098	blue2
Glb1l2	Glb1l2	blue2
Thyn1	Thyn1	blue2
St14	St14	blue2
LOC121831072	LOC121831072	blue2
Tirap	Tirap	blue2
Foxred1	Foxred1	blue2
LOC102925689	LOC102925689	blue2
Tmem218	Tmem218	blue2
Ccdc15	Ccdc15	blue2
Esam	Esam	blue2
Vsig2	Vsig2	blue2
Tbrg1	Tbrg1	blue2
LOC107401708	LOC107401708	blue2
LOC121830805	LOC121830805	blue2
Tecta	Tecta	blue2
Nherf4	Nherf4	blue2
Hmbs	Hmbs	blue2
LOC143274237	LOC143274237	blue2
Trappc4	Trappc4	blue2
LOC121831210	LOC121831210	blue2
Jaml	Jaml	blue2
Il10ra	Il10ra	blue2
Fxyd2	Fxyd2	blue2
Zpr1	Zpr1	blue2
LOC121830825	LOC121830825	blue2
LOC121830828	LOC121830828	blue2
LOC102914125	LOC102914125	blue2
LOC143274247	LOC143274247	blue2
Nxpe1	Nxpe1	blue2
C7H11orf71	C7H11orf71	blue2
Pts	Pts	blue2
Bco2	Bco2	blue2
Il18	Il18	blue2
Hspb2	Hspb2	blue2
Cryab	Cryab	blue2
Fdxacb1	Fdxacb1	blue2
Layn	Layn	blue2
Sh2d7	Sh2d7	blue2
LOC143274262	LOC143274262	blue2
LOC143274261	LOC143274261	blue2
LOC121830857	LOC121830857	blue2
Nr2e3	Nr2e3	blue2
Hacd3	Hacd3	blue2
Bcl2a1	Bcl2a1	blue2
LOC121830950	LOC121830950	blue2
Elp6	Elp6	blue2
C8H5orf47	C8H5orf47	blue2
Itih3	Itih3	blue2
LOC121826487	LOC121826487	blue2
LOC143267265	LOC143267265	blue2
Nek10	Nek10	blue2
Cep15	Cep15	blue2
LOC121832238	LOC121832238	blue2
LOC107403025	LOC107403025	blue2
Mrps16	Mrps16	blue2
LOC143267365	LOC143267365	blue2
Sdr39u1	Sdr39u1	blue2
Cln5	Cln5	blue2
LOC121821438	LOC121821438	blue2
LOC143268270	LOC143268270	blue2
LOC102925445	LOC102925445	blue2
Ormdl2	Ormdl2	blue2
LOC143270068	LOC143270068	blue2
LOC143270842	LOC143270842	blue2
