fromNode	toNode	weight	direction	fromAltName	toAltName
LOC121827205	Ttyh2	0.109268546474111	undirected	LOC121827205	Ttyh2
LOC121827205	Cmtm5	0.153678743841653	undirected	LOC121827205	Cmtm5
LOC121827205	Slain1	0.144897318680924	undirected	LOC121827205	Slain1
LOC121827205	Gal3st1	0.119245393229375	undirected	LOC121827205	Gal3st1
LOC121827205	Lap3	0.121366517590271	undirected	LOC121827205	Lap3
LOC121827205	Cdh19	0.11230113502064	undirected	LOC121827205	Cdh19
LOC121827205	Adamts4	0.10788055150933	undirected	LOC121827205	Adamts4
LOC121827205	Tmem63a	0.16922792117223	undirected	LOC121827205	Tmem63a
LOC121827205	Apod	0.105464226600579	undirected	LOC121827205	Apod
LOC121827205	Atg3	0.101743748670638	undirected	LOC121827205	Atg3
LOC121827205	Cpox	0.11395026693791	undirected	LOC121827205	Cpox
LOC121827205	C12H21orf91	0.107229591468362	undirected	LOC121827205	C12H21orf91
LOC121827205	Cyyr1	0.125513456082375	undirected	LOC121827205	Cyyr1
LOC121827205	Olig1	0.108465777532109	undirected	LOC121827205	Olig1
LOC121827205	Tmbim1	0.155008902652074	undirected	LOC121827205	Tmbim1
LOC121827205	Plcl1	0.121417115609609	undirected	LOC121827205	Plcl1
LOC121827205	Sypl1	0.131563632730051	undirected	LOC121827205	Sypl1
LOC121827205	Hbp1	0.171090196214002	undirected	LOC121827205	Hbp1
LOC121827205	Plekhh1	0.136355553281595	undirected	LOC121827205	Plekhh1
LOC121827205	Snx18	0.116441067015487	undirected	LOC121827205	Snx18
LOC121827205	Erbin	0.140480398455021	undirected	LOC121827205	Erbin
LOC121827205	Qki	0.127653035668498	undirected	LOC121827205	Qki
LOC121827205	Prr18	0.191114527800015	undirected	LOC121827205	Prr18
LOC121827205	Golga7	0.134514167592988	undirected	LOC121827205	Golga7
LOC121827205	Arhgef10	0.168161793585077	undirected	LOC121827205	Arhgef10
LOC121827205	Tmtc2	0.152115949891602	undirected	LOC121827205	Tmtc2
LOC121827205	Erbb3	0.10833843597825	undirected	LOC121827205	Erbb3
LOC121827205	Slc12a2	0.164674339997795	undirected	LOC121827205	Slc12a2
