fromNode	toNode	weight	direction	fromAltName	toAltName
LOC143273233	Scnn1g	0.184319537744078	undirected	LOC143273233	Scnn1g
LOC143273233	Naaladl1	0.113518906743582	undirected	LOC143273233	Naaladl1
LOC143273233	Chd7	0.111920565175423	undirected	LOC143273233	Chd7
LOC143273233	Ca8	0.302749623885688	undirected	LOC143273233	Ca8
LOC143273233	Svep1	0.299815309884674	undirected	LOC143273233	Svep1
LOC143273233	Epb41	0.136890984912682	undirected	LOC143273233	Epb41
LOC143273233	Rps6ka1	0.137776359558018	undirected	LOC143273233	Rps6ka1
LOC143273233	Espn	0.145176923425813	undirected	LOC143273233	Espn
LOC143273233	Hes3	0.22280960866914	undirected	LOC143273233	Hes3
LOC143273233	En2	0.188684189450151	undirected	LOC143273233	En2
LOC143273233	Cnpy1	0.159742457419178	undirected	LOC143273233	Cnpy1
LOC143273233	Chn2	0.172276231998238	undirected	LOC143273233	Chn2
LOC143273233	Ppp1r17	0.23212104981138	undirected	LOC143273233	Ppp1r17
LOC143273233	Grid2	0.191518190951508	undirected	LOC143273233	Grid2
LOC143273233	LOC102921329	0.238163101163635	undirected	LOC143273233	LOC102921329
LOC143273233	Tprn	0.128791203535148	undirected	LOC143273233	Tprn
LOC143273233	Itgb6	0.17597786987273	undirected	LOC143273233	Itgb6
LOC143273233	Neurod1	0.201279659991199	undirected	LOC143273233	Neurod1
LOC143273233	Pax6	0.107142787486134	undirected	LOC143273233	Pax6
LOC143273233	LOC143272978	0.163289952982376	undirected	LOC143273233	LOC143272978
LOC143273233	Shf	0.103642388179654	undirected	LOC143273233	Shf
LOC143273233	LOC121829350	0.167439500283074	undirected	LOC143273233	LOC121829350
LOC143273233	Cbln1	0.163329453564687	undirected	LOC143273233	Cbln1
LOC143273233	Adamts18	0.266800406361792	undirected	LOC143273233	Adamts18
LOC143273233	Cdh15	0.330811371646256	undirected	LOC143273233	Cdh15
LOC143273233	Lrrc31	0.252446523156873	undirected	LOC143273233	Lrrc31
LOC143273233	LOC121830174	0.12048751167581	undirected	LOC143273233	LOC121830174
