fromNode	toNode	weight	direction	fromAltName	toAltName
Dprx	LOC143267102	0.115162936492492	undirected	Dprx	LOC143267102
Dprx	Serpinh1	0.128450340050262	undirected	Dprx	Serpinh1
Dprx	Dnajb1	0.139370662738242	undirected	Dprx	Dnajb1
Dprx	Dnajb4	0.107460916537643	undirected	Dprx	Dnajb4
Dprx	Manf	0.121684328187439	undirected	Dprx	Manf
Dprx	Tmem33	0.115365085209455	undirected	Dprx	Tmem33
Dprx	Swt1	0.115062691837497	undirected	Dprx	Swt1
Dprx	Sdf2l1	0.100069002003779	undirected	Dprx	Sdf2l1
Dprx	LOC102908853	0.132528236164917	undirected	Dprx	LOC102908853
Dprx	LOC143269254	0.116436600373609	undirected	Dprx	LOC143269254
Dprx	LOC143269276	0.116614302230533	undirected	Dprx	LOC143269276
Dprx	LOC143269239	0.119471946642733	undirected	Dprx	LOC143269239
Dprx	St13	0.107123867189822	undirected	Dprx	St13
Dprx	LOC102913681	0.116776351793187	undirected	Dprx	LOC102913681
Dprx	P4ha1	0.140699088235006	undirected	Dprx	P4ha1
Dprx	Cirbp	0.109409799831799	undirected	Dprx	Cirbp
Dprx	Hsph1	0.118769539117443	undirected	Dprx	Hsph1
LOC143267102	Serpinh1	0.219017674721943	undirected	LOC143267102	Serpinh1
LOC143267102	LOC143272537	0.115456165562587	undirected	LOC143267102	LOC143272537
LOC143267102	C8g	0.101408580549184	undirected	LOC143267102	C8g
LOC143267102	Scrn3	0.148000139028755	undirected	LOC143267102	Scrn3
LOC143267102	LOC121828687	0.102972129379211	undirected	LOC143267102	LOC121828687
LOC143267102	LOC121828985	0.148367138341835	undirected	LOC143267102	LOC121828985
LOC143267102	Ttn	0.192893189579443	undirected	LOC143267102	Ttn
LOC143267102	Smtnl1	0.152070754586444	undirected	LOC143267102	Smtnl1
LOC143267102	F2	0.185373994351519	undirected	LOC143267102	F2
LOC143267102	LOC107400156	0.196435874284761	undirected	LOC143267102	LOC107400156
LOC143267102	LOC143272970	0.155525299209757	undirected	LOC143267102	LOC143272970
LOC143267102	Capn3	0.185478422680169	undirected	LOC143267102	Capn3
LOC143267102	Catsper2	0.137927254633786	undirected	LOC143267102	Catsper2
LOC143267102	Duox1	0.123380006234469	undirected	LOC143267102	Duox1
LOC143267102	Sppl2a	0.164334436137064	undirected	LOC143267102	Sppl2a
LOC143267102	LOC121828819	0.100059963045385	undirected	LOC143267102	LOC121828819
LOC143267102	LOC102910285	0.158486676997876	undirected	LOC143267102	LOC102910285
LOC143267102	Rassf2	0.179661976617277	undirected	LOC143267102	Rassf2
LOC143267102	Slc52a3	0.119587804406748	undirected	LOC143267102	Slc52a3
LOC143267102	Tp53rk	0.16958748272909	undirected	LOC143267102	Tp53rk
LOC143267102	Dnajb1	0.233138124919311	undirected	LOC143267102	Dnajb1
LOC143267102	LOC102912797	0.166159648795201	undirected	LOC143267102	LOC102912797
LOC143267102	LOC107399504	0.138760443540167	undirected	LOC143267102	LOC107399504
LOC143267102	LOC102908137	0.121812494670976	undirected	LOC143267102	LOC102908137
LOC143267102	LOC102909278	0.115809392933563	undirected	LOC143267102	LOC102909278
LOC143267102	LOC102921651	0.113227217624225	undirected	LOC143267102	LOC102921651
LOC143267102	Tpmt	0.125230074810209	undirected	LOC143267102	Tpmt
LOC143267102	LOC121829651	0.167014295833762	undirected	LOC143267102	LOC121829651
LOC143267102	Dnajb4	0.18747171668981	undirected	LOC143267102	Dnajb4
LOC143267102	Plekho2	0.134072857845115	undirected	LOC143267102	Plekho2
LOC143267102	Manf	0.201728767321872	undirected	LOC143267102	Manf
LOC143267102	Gask1a	0.124664972894808	undirected	LOC143267102	Gask1a
LOC143267102	LOC102920460	0.178581277025783	undirected	LOC143267102	LOC102920460
LOC143267102	LOC143274566	0.140150637901769	undirected	LOC143267102	LOC143274566
LOC143267102	LOC143274570	0.11922261473307	undirected	LOC143267102	LOC143274570
LOC143267102	LOC121826466	0.146939517711839	undirected	LOC143267102	LOC121826466
LOC143267102	Shpk	0.101037311806176	undirected	LOC143267102	Shpk
LOC143267102	LOC107401265	0.152527711564412	undirected	LOC143267102	LOC107401265
LOC143267102	LOC102905347	0.113699073954066	undirected	LOC143267102	LOC102905347
LOC143267102	LOC143266955	0.126202245419004	undirected	LOC143267102	LOC143266955
LOC143267102	LOC143266954	0.124970807563388	undirected	LOC143267102	LOC143266954
LOC143267102	LOC143266959	0.118531190857031	undirected	LOC143267102	LOC143266959
LOC143267102	LOC107402803	0.162841685707857	undirected	LOC143267102	LOC107402803
LOC143267102	P3h4	0.12561506428509	undirected	LOC143267102	P3h4
LOC143267102	LOC121831524	0.176839487168897	undirected	LOC143267102	LOC121831524
LOC143267102	Engase	0.158659941588385	undirected	LOC143267102	Engase
LOC143267102	Il17rb	0.11717703574643	undirected	LOC143267102	Il17rb
LOC143267102	Gpr183	0.128805724865296	undirected	LOC143267102	Gpr183
LOC143267102	Spmip7	0.189428863086519	undirected	LOC143267102	Spmip7
LOC143267102	Pno1	0.216247055111253	undirected	LOC143267102	Pno1
LOC143267102	LOC102903879	0.174544051020035	undirected	LOC143267102	LOC102903879
LOC143267102	Sanbr	0.196442459867195	undirected	LOC143267102	Sanbr
LOC143267102	Mtif2	0.204952500219134	undirected	LOC143267102	Mtif2
LOC143267102	Cimip6	0.206244096671289	undirected	LOC143267102	Cimip6
LOC143267102	LOC143267514	0.163313249641687	undirected	LOC143267102	LOC143267514
LOC143267102	LOC143267515	0.212397872080759	undirected	LOC143267102	LOC143267515
LOC143267102	Bst1	0.197510182215157	undirected	LOC143267102	Bst1
LOC143267102	Nsun7	0.152591207591538	undirected	LOC143267102	Nsun7
LOC143267102	Tmem33	0.187440403013903	undirected	LOC143267102	Tmem33
LOC143267102	Swt1	0.175362483688487	undirected	LOC143267102	Swt1
LOC143267102	Sdf2l1	0.197763072519399	undirected	LOC143267102	Sdf2l1
LOC143267102	LOC143268112	0.144313576694026	undirected	LOC143267102	LOC143268112
LOC143267102	LOC102904734	0.15683583314466	undirected	LOC143267102	LOC102904734
LOC143267102	LOC102908853	0.174431986809677	undirected	LOC143267102	LOC102908853
LOC143267102	LOC102905401	0.109500360605393	undirected	LOC143267102	LOC102905401
LOC143267102	LOC102902910	0.140303665110302	undirected	LOC143267102	LOC102902910
LOC143267102	Ccdc125	0.125670756609887	undirected	LOC143267102	Ccdc125
LOC143267102	LOC121822847	0.121676550840268	undirected	LOC143267102	LOC121822847
LOC143267102	Ubxn8	0.170982597523204	undirected	LOC143267102	Ubxn8
