nodeName	altName	nodeAttr[nodesPresent, ]
LOC143270317	LOC143270317	red
LOC102916998	LOC102916998	red
LOC102917860	LOC102917860	red
Anxa1	Anxa1	red
Cfap95	Cfap95	red
Pgm5	Pgm5	red
Dock8	Dock8	red
Ak3	Ak3	red
Acta2	Acta2	red
LOC143270986	LOC143270986	red
Fgfbp3	Fgfbp3	red
LOC121823742	LOC121823742	red
Pik3ap1	Pik3ap1	red
Marveld1	Marveld1	red
LOC121827014	LOC121827014	red
Itprip	Itprip	red
Add3	Add3	red
Casp7	Casp7	red
Sbspon	Sbspon	red
Ca3	Ca3	red
LOC102915951	LOC102915951	red
LOC102903903	LOC102903903	red
Decr1	Decr1	red
Tmem64	Tmem64	red
Cfap418	Cfap418	red
Nkain3	Nkain3	red
B4galt1	B4galt1	red
Tpm2	Tpm2	red
Tln1	Tln1	red
Reck	Reck	red
Melk	Melk	red
Igfbpl1	Igfbpl1	red
Anp32b	Anp32b	red
Susd1	Susd1	red
Akna	Akna	red
Hacd4	Hacd4	red
LOC102904623	LOC102904623	red
Nfia	Nfia	red
Ror1	Ror1	red
Dnai4	Dnai4	red
Plpp3	Plpp3	red
Ift25	Ift25	red
Echdc2	Echdc2	red
Cdkn2c	Cdkn2c	red
Dmrta2	Dmrta2	red
Trabd2b	Trabd2b	red
Foxd2	Foxd2	red
Pdzk1ip1	Pdzk1ip1	red
Ccdc17	Ccdc17	red
Eva1b	Eva1b	red
Col8a2	Col8a2	red
Tfap2e	Tfap2e	red
Gja4	Gja4	red
Zbtb8a	Zbtb8a	red
Tinagl1	Tinagl1	red
Laptm5	Laptm5	red
Xkr8	Xkr8	red
Smpdl3b	Smpdl3b	red
Fgr	Fgr	red
Tent5b	Tent5b	red
Id3	Id3	red
C1qb	C1qb	red
C1qc	C1qc	red
C1qa	C1qa	red
Akr7a2	Akr7a2	red
Aldh4a1	Aldh4a1	red
Padi2	Padi2	red
Pdpn	Pdpn	red
Tnfrsf1b	Tnfrsf1b	red
Agtrap	Agtrap	red
Angptl7	Angptl7	red
Cenps	Cenps	red
LOC102926585	LOC102926585	red
Rpl22	Rpl22	red
C2H1orf174	C2H1orf174	red
LOC121827515	LOC121827515	red
Mxra8	Mxra8	red
Ptprz1	Ptprz1	red
Cped1	Cped1	red
Col1a2	Col1a2	red
LOC102915930	LOC102915930	red
LOC121827841	LOC121827841	red
LOC121827886	LOC121827886	red
Fgl2	Fgl2	red
LOC143272119	LOC143272119	red
Clec5a	Clec5a	red
Tas2r4	Tas2r4	red
Parp12	Parp12	red
Fam180a	Fam180a	red
Slc13a4	Slc13a4	red
Agbl3	Agbl3	red
Cald1	Cald1	red
LOC143272212	LOC143272212	red
Smo	Smo	red
Flnc	Flnc	red
Rarres2	Rarres2	red
Gimap6	Gimap6	red
Tmem176b	Tmem176b	red
Atg9b	Atg9b	red
Wdr86	Wdr86	red
Crygn	Crygn	red
Nom1	Nom1	red
LOC102913845	LOC102913845	red
Gpnmb	Gpnmb	red
LOC107402454	LOC107402454	red
Nod1	Nod1	red
Pudp	Pudp	red
Inmt	Inmt	red
Mindy4	Mindy4	red
Vamp5	Vamp5	red
Vamp8	Vamp8	red
Capg	Capg	red
Loxl3	Loxl3	red
LOC143272408	LOC143272408	red
Wbp1	Wbp1	red
Ino80b	Ino80b	red
Actg2	Actg2	red
Cfap100	Cfap100	red
Aldh1l1	Aldh1l1	red
Cav3	Cav3	red
Wnt5b	Wnt5b	red
Slc6a13	Slc6a13	red
Slc6a12	Slc6a12	red
Mfap5	Mfap5	red
C1r	C1r	red
Ptpn6	Ptpn6	red
Tapbpl	Tapbpl	red
Ltbr	Ltbr	red
LOC121826547	LOC121826547	red
Emp1	Emp1	red
Mgp	Mgp	red
Arhgdib	Arhgdib	red
Tm7sf3	Tm7sf3	red
LOC143272579	LOC143272579	red
LOC107399425	LOC107399425	red
Zbtb26	Zbtb26	red
Ptgs1	Ptgs1	red
LOC107399759	LOC107399759	red
LOC143272813	LOC143272813	red
Stom	Stom	red
Angptl2	Angptl2	red
Rpl12	Rpl12	red
LOC143272821	LOC143272821	red
Eng	Eng	red
Aif1l	Aif1l	red
Lamc3	Lamc3	red
Prrx2	Prrx2	red
LOC121828596	LOC121828596	red
Cel	Cel	red
Mymk	Mymk	red
Cacfd1	Cacfd1	red
Surf1	Surf1	red
LOC102925381	LOC102925381	red
LOC102921753	LOC102921753	red
Ccdc183	Ccdc183	red
Edf1	Edf1	red
Ptgds	Ptgds	red
Arl6ip6	Arl6ip6	red
Wdsub1	Wdsub1	red
Dpp4	Dpp4	red
Ifih1	Ifih1	red
LOC143272879	LOC143272879	red
Metap1d	Metap1d	red
Serping1	Serping1	red
Aplnr	Aplnr	red
Spi1	Spi1	red
Pacsin3	Pacsin3	red
Mdk	Mdk	red
Alx4	Alx4	red
Pamr1	Pamr1	red
LOC102908251	LOC102908251	red
Pla2g4f	Pla2g4f	red
Serf2	Serf2	red
B2m	B2m	red
Chchd5	Chchd5	red
Cpxm1	Cpxm1	red
Gfra4	Gfra4	red
Jag1	Jag1	red
Thbd	Thbd	red
LOC102919005	LOC102919005	red
C4H20orf96	C4H20orf96	red
Rem1	Rem1	red
Foxs1	Foxs1	red
Snta1	Snta1	red
Pxmp4	Pxmp4	red
Procr	Procr	red
Gdf5	Gdf5	red
Myl9	Myl9	red
Tgif2	Tgif2	red
Manbal	Manbal	red
Tgm2	Tgm2	red
Lbp	Lbp	red
LOC121828948	LOC121828948	red
Snai1	Snai1	red
Ptgis	Ptgis	red
Slc13a3	Slc13a3	red
Pltp	Pltp	red
Ada	Ada	red
Jph2	Jph2	red
Bmp7	Bmp7	red
Ctsz	Ctsz	red
Tubb1	Tubb1	red
Edn3	Edn3	red
Cdh5	Cdh5	red
Ccdc102a	Ccdc102a	red
LOC102911532	LOC102911532	red
Adgre5	Adgre5	red
Lyl1	Lyl1	red
Dnase2	Dnase2	red
Man2b1	Man2b1	red
Ednra	Ednra	red
LOC143273305	LOC143273305	red
LOC121829397	LOC121829397	red
Lcat	Lcat	red
Cdh1	Cdh1	red
Cotl1	Cotl1	red
Crispld2	Crispld2	red
C5H16orf74	C5H16orf74	red
Foxc2	Foxc2	red
Foxl1	Foxl1	red
Aprt	Aprt	red
LOC102910272	LOC102910272	red
Agt	Agt	red
Itgb1	Itgb1	red
Svil	Svil	red
Bambi	Bambi	red
Apbb1ip	Apbb1ip	red
LOC143273374	LOC143273374	red
Nsun6	Nsun6	red
Mrc1	Mrc1	red
Vim	Vim	red
Cubn	Cubn	red
Acbd7	Acbd7	red
Ccdc3	Ccdc3	red
Proser2	Proser2	red
Itih2	Itih2	red
Nid1	Nid1	red
Ggps1	Ggps1	red
LOC121829686	LOC121829686	red
LOC102928271	LOC102928271	red
Hfe	Hfe	red
Trim38	Trim38	red
Mboat1	Mboat1	red
Foxc1	Foxc1	red
LOC102908962	LOC102908962	red
Fars2	Fars2	red
Bmp6	Bmp6	red
LOC121829604	LOC121829604	red
Susd3	Susd3	red
Ecm2	Ecm2	red
Aspn	Aspn	red
Omd	Omd	red
Ogn	Ogn	red
Syk	Syk	red
Ror2	Ror2	red
Msx2	Msx2	red
Tifab	Tifab	red
Tgfbi	Tgfbi	red
Ntrk2	Ntrk2	red
LOC102903114	LOC102903114	red
Anxa5	Anxa5	red
Slc7a11	Slc7a11	red
Tm4sf1	Tm4sf1	red
P2ry13	P2ry13	red
P2ry12	P2ry12	red
LOC102911142	LOC102911142	red
Ptx3	Ptx3	red
Mlf1	Mlf1	red
Smc4	Smc4	red
LOC121830190	LOC121830190	red
Insrr	Insrr	red
Crabp2	Crabp2	red
Tmem79	Tmem79	red
Efna4	Efna4	red
Pbxip1	Pbxip1	red
Rab13	Rab13	red
S100a4	S100a4	red
Loricrin	Loricrin	red
S100a11	S100a11	red
Rorc	Rorc	red
Tnfaip8l2	Tnfaip8l2	red
Mindy1	Mindy1	red
Ctss	Ctss	red
Txnip	Txnip	red
Lix1l	Lix1l	red
Tbx15	Tbx15	red
Tent5c	Tent5c	red
Olfml3	Olfml3	red
Rhoc	Rhoc	red
Lrif1	Lrif1	red
Cd53	Cd53	red
LOC102905684	LOC102905684	red
LOC102904443	LOC102904443	red
LOC102903913	LOC102903913	red
Vcam1	Vcam1	red
Cdc14a	Cdc14a	red
LOC121830311	LOC121830311	red
Cnn3	Cnn3	red
Larp7	Larp7	red
Tifa	Tifa	red
Cfi	Cfi	red
Casp6	Casp6	red
Hadh	Hadh	red
Sgms2	Sgms2	red
Dkk2	Dkk2	red
Bdh2	Bdh2	red
Dapp1	Dapp1	red
Pdlim5	Pdlim5	red
LOC102907247	LOC102907247	red
LOC102905706	LOC102905706	red
LOC102906329	LOC102906329	red
LOC102905389	LOC102905389	red
LOC102905072	LOC102905072	red
Kyat3	Kyat3	red
Gng5	Gng5	red
Ptgfr	Ptgfr	red
Tnni3k	Tnni3k	red
LOC143273784	LOC143273784	red
S1pr2	S1pr2	red
Icam1	Icam1	red
Kank2	Kank2	red
Cnn1	Cnn1	red
Slc37a2	Slc37a2	red
Hepacam	Hepacam	red
Spa17	Spa17	red
C1qtnf5	C1qtnf5	red
Mpzl2	Mpzl2	red
Tagln	Tagln	red
Slc35f2	Slc35f2	red
Ppcdc	Ppcdc	red
Scamp2	Scamp2	red
Islr	Islr	red
Loxl1	Loxl1	red
LOC121830860	LOC121830860	red
Uaca	Uaca	red
Smad6	Smad6	red
Tipin	Tipin	red
Parp16	Parp16	red
Rasl12	Rasl12	red
Anxa2	Anxa2	red
Aldh1a2	Aldh1a2	red
Unc13c	Unc13c	red
Bmp5	Bmp5	red
Tbx18	Tbx18	red
Lca5	Lca5	red
Mthfs	Mthfs	red
Ctsh	Ctsh	red
Plscr4	Plscr4	red
Slc9a9	Slc9a9	red
LOC143274303	LOC143274303	red
Pls1	Pls1	red
LOC107401031	LOC107401031	red
Rbp1	Rbp1	red
Foxl2	Foxl2	red
Slco2a1	Slco2a1	red
Sema3b	Sema3b	red
Slc38a3	Slc38a3	red
Lamb2	Lamb2	red
Shisa5	Shisa5	red
Cmtm6	Cmtm6	red
Cmtm7	Cmtm7	red
Tgfbr2	Tgfbr2	red
Itga9	Itga9	red
Plcd1	Plcd1	red
LOC102925207	LOC102925207	red
LOC102924685	LOC102924685	red
Myh11	Myh11	red
Emp2	Emp2	red
Litafd	Litafd	red
Vasn	Vasn	red
Srl	Srl	red
LOC102906714	LOC102906714	red
Dock2	Dock2	red
Kcnmb1	Kcnmb1	red
Atp6v0e1	Atp6v0e1	red
LOC102928917	LOC102928917	red
LOC102902798	LOC102902798	red
LOC143274543	LOC143274543	red
Nhlrc4	Nhlrc4	red
Msln	Msln	red
Igfals	Igfals	red
C1qtnf2	C1qtnf2	red
LOC102926643	LOC102926643	red
LOC102925402	LOC102925402	red
Shroom1	Shroom1	red
Gm2a	Gm2a	red
LOC121831808	LOC121831808	red
LOC102913945	LOC102913945	red
Srebf1	Srebf1	red
Slc47a1	Slc47a1	red
LOC102903988	LOC102903988	red
Mfap4	Mfap4	red
Adora2b	Adora2b	red
LOC102914287	LOC102914287	red
Tmem88	Tmem88	red
Tp53	Tp53	red
Cd68	Cd68	red
Tnfsf12	Tnfsf12	red
Chrnb1	Chrnb1	red
Kctd11	Kctd11	red
Slc2a4	Slc2a4	red
LOC102906667	LOC102906667	red
LOC121826471	LOC121826471	red
Slc13a5	Slc13a5	red
Xaf1	Xaf1	red
Tax1bp3	Tax1bp3	red
LOC121831587	LOC121831587	red
Serpinf1	Serpinf1	red
Serpinf2	Serpinf2	red
Tp53i13	Tp53i13	red
Rab34	Rab34	red
Tmem97	Tmem97	red
Rnf135	Rnf135	red
Mmp28	Mmp28	red
LOC143266986	LOC143266986	red
Chad	Chad	red
LOC121831438	LOC121831438	red
Copz2	Copz2	red
Arl5c	Arl5c	red
Erbb2	Erbb2	red
LOC121831937	LOC121831937	red
Ccr7	Ccr7	red
Fkbp10	Fkbp10	red
Cavin1	Cavin1	red
Aoc3	Aoc3	red
Ifi35	Ifi35	red
Fzd2	Fzd2	red
Gfap	Gfap	red
Mrc2	Mrc2	red
Prr29	Prr29	red
Pecam1	Pecam1	red
Abca9	Abca9	red
Sox9	Sox9	red
Cdc42ep4	Cdc42ep4	red
Kif19	Kif19	red
Slc16a5	Slc16a5	red
Itgb4	Itgb4	red
H3-3b	H3-3b	red
Trim47	Trim47	red
Ten1	Ten1	red
Sphk1	Sphk1	red
St6galnac2	St6galnac2	red
Syngr2	Syngr2	red
Lgals3bp	Lgals3bp	red
C1qtnf1	C1qtnf1	red
P4hb	P4hb	red
Notum	Notum	red
Dcxr	Dcxr	red
LOC107400135	LOC107400135	red
Mustn1	Mustn1	red
Stab1	Stab1	red
Vstm4	Vstm4	red
Wdfy4	Wdfy4	red
LOC102906487	LOC102906487	red
LOC102905245	LOC102905245	red
Mmrn2	Mmrn2	red
LOC143267291	LOC143267291	red
Lrmda	Lrmda	red
Comtd1	Comtd1	red
Anxa7	Anxa7	red
Nid2	Nid2	red
Bmp4	Bmp4	red
Lgals3	Lgals3	red
Tmem260	Tmem260	red
Parp2	Parp2	red
Rnase11	Rnase11	red
Rnase6	Rnase6	red
Ajuba	Ajuba	red
LOC102904885	LOC102904885	red
Gjb2	Gjb2	red
Il17d	Il17d	red
Micu2	Micu2	red
Tnfrsf19	Tnfrsf19	red
Sgcg	Sgcg	red
Znf395	Znf395	red
Clu	Clu	red
R3hcc1	R3hcc1	red
Pebp4	Pebp4	red
Sorbs3	Sorbs3	red
Rcbtb2	Rcbtb2	red
Gtf2f2	Gtf2f2	red
Gpc6	Gpc6	red
LOC121832425	LOC121832425	red
Ubac2	Ubac2	red
Itgbl1	Itgbl1	red
Cytl1	Cytl1	red
Cfap184	Cfap184	red
Htra3	Htra3	red
Cpz	Cpz	red
Tacc3	Tacc3	red
Tcn2	Tcn2	red
Aebp1	Aebp1	red
Ikzf1	Ikzf1	red
Egfr	Egfr	red
Plek	Plek	red
Efemp1	Efemp1	red
Pgcka1	Pgcka1	red
LOC121832590	LOC121832590	red
Fam114a1	Fam114a1	red
LOC102913507	LOC102913507	red
Corin	Corin	red
LOC121820928	LOC121820928	red
Igfbp7	Igfbp7	red
LOC102920950	LOC102920950	red
LOC102915118	LOC102915118	red
Antxr2	Antxr2	red
Cfap299	Cfap299	red
LOC102907097	LOC102907097	red
Tgfbr3	Tgfbr3	red
C1ql2	C1ql2	red
Cxcr4	Cxcr4	red
Optc	Optc	red
Prelp	Prelp	red
Fmod	Fmod	red
Lmod1	Lmod1	red
Pkp1	Pkp1	red
Inava	Inava	red
Ptprc	Ptprc	red
LOC102923317	LOC102923317	red
Pla2g4a	Pla2g4a	red
Ncf2	Ncf2	red
Shcbp1l	Shcbp1l	red
Angptl1	Angptl1	red
Fmo4	Fmo4	red
Sell	Sell	red
Mpzl1	Mpzl1	red
Styxl2	Styxl2	red
Ddr2	Ddr2	red
Fcer1g	Fcer1g	red
Arhgap30	Arhgap30	red
Cd48	Cd48	red
Tagln2	Tagln2	red
LOC143267875	LOC143267875	red
LOC102903068	LOC102903068	red
Tlr5	Tlr5	red
Mtarc1	Mtarc1	red
Spata17	Spata17	red
Cd34	Cd34	red
Cr1l	Cr1l	red
Snai2	Snai2	red
Ess2	Ess2	red
Prodh	Prodh	red
Klhl6	Klhl6	red
LOC121821682	LOC121821682	red
Itgb5	Itgb5	red
Mylk	Mylk	red
LOC102918645	LOC102918645	red
Hcls1	Hcls1	red
Popdc2	Popdc2	red
Ccdc80	Ccdc80	red
LOC102904218	LOC102904218	red
Abi3bp	Abi3bp	red
Filip1l	Filip1l	red
Col8a1	Col8a1	red
Pros1	Pros1	red
Vgll3	Vgll3	red
Bace2	Bace2	red
Fbxo36	Fbxo36	red
LOC102916734	LOC102916734	red
C13H2orf72	C13H2orf72	red
Ptma	Ptma	red
Hjurp	Hjurp	red
Ackr3	Ackr3	red
LOC143268262	LOC143268262	red
Col6a3	Col6a3	red
Sned1	Sned1	red
Ano7	Ano7	red
Neu4	Neu4	red
LOC121821953	LOC121821953	red
LOC143268284	LOC143268284	red
Lama1	Lama1	red
Arhgap28	Arhgap28	red
Myom1	Myom1	red
Wnt6	Wnt6	red
Ctdsp1	Ctdsp1	red
Igfbp2	Igfbp2	red
Fn1	Fn1	red
Spag16	Spag16	red
LOC143268326	LOC143268326	red
Col5a2	Col5a2	red
Col3a1	Col3a1	red
Znf277	Znf277	red
Twist1	Twist1	red
LOC121822222	LOC121822222	red
Kcnh5	Kcnh5	red
Rad51b	Rad51b	red
Zfp36l1	Zfp36l1	red
Smoc1	Smoc1	red
LOC102925753	LOC102925753	red
Aldh6a1	Aldh6a1	red
Npc2	Npc2	red
Pgf	Pgf	red
LOC143268468	LOC143268468	red
Tmed10	Tmed10	red
Flvcr2	Flvcr2	red
Ston2	Ston2	red
Fbln5	Fbln5	red
LOC102910402	LOC102910402	red
Slc25a29	Slc25a29	red
Pld4	Pld4	red
Crip1	Crip1	red
Cep72	Cep72	red
Nkd2	Nkd2	red
Cmbl	Cmbl	red
Dap	Dap	red
Adamts12	Adamts12	red
C1qtnf3	C1qtnf3	red
Ranbp3l	Ranbp3l	red
Slc1a3	Slc1a3	red
Egflam	Egflam	red
Osmr	Osmr	red
Dab2	Dab2	red
Card6	Card6	red
C6	C6	red
Fbxo4	Fbxo4	red
Nnt	Nnt	red
LOC102922391	LOC102922391	red
Gpx8	Gpx8	red
Msh3	Msh3	red
Thbs4	Thbs4	red
Foxd1	Foxd1	red
Znf366	Znf366	red
Cd180	Cd180	red
Cd24	Cd24	red
Mical1	Mical1	red
Mettl24	Mettl24	red
Tube1	Tube1	red
Dse	Dse	red
Pln	Pln	red
Tbc1d32	Tbc1d32	red
Smpdl3a	Smpdl3a	red
Trmt11	Trmt11	red
Cenpw	Cenpw	red
Ccn2	Ccn2	red
Slc2a12	Slc2a12	red
Perp	Perp	red
Adgrg6	Adgrg6	red
Ginm1	Ginm1	red
Myct1	Myct1	red
Dynlt1	Dynlt1	red
LOC102909694	LOC102909694	red
Slc22a2	Slc22a2	red
Smoc2	Smoc2	red
Thbs2	Thbs2	red
Nr2c2ap	Nr2c2ap	red
Mef2b	Mef2b	red
Isyna1	Isyna1	red
Slc5a5	Slc5a5	red
Slc27a1	Slc27a1	red
Bst2	Bst2	red
Use1	Use1	red
LOC102906642	LOC102906642	red
Cpe	Cpe	red
Palld	Palld	red
Msr1	Msr1	red
Rbpms	Rbpms	red
Adgra2	Adgra2	red
Sfrp1	Sfrp1	red
Plat	Plat	red
Angpt2	Angpt2	red
Cfap97d2	Cfap97d2	red
Timp3	Timp3	red
C18H12orf75	C18H12orf75	red
Appl2	Appl2	red
Glt8d2	Glt8d2	red
Dcn	Dcn	red
Alx1	Alx1	red
Csrp2	Csrp2	red
Cdk2	Cdk2	red
Sdr9c7	Sdr9c7	red
Ackr5	Ackr5	red
LOC102923362	LOC102923362	red
LOC102923051	LOC102923051	red
Colec12	Colec12	red
Ino80c	Ino80c	red
LOC121824018	LOC121824018	red
Nme5	Nme5	red
Gfra3	Gfra3	red
Cdc25c	Cdc25c	red
Prob1	Prob1	red
Spata24	Spata24	red
LOC102905625	LOC102905625	red
LOC121823961	LOC121823961	red
Dtwd2	Dtwd2	red
Lox	Lox	red
Prdm6	Prdm6	red
LOC102905607	LOC102905607	red
Smim3	Smim3	red
Cd74	Cd74	red
Pdgfrb	Pdgfrb	red
Csf1r	Csf1r	red
Apcdd1	Apcdd1	red
Tubb6	Tubb6	red
Katnal2	Katnal2	red
Pard6g	Pard6g	red
LOC143269704	LOC143269704	red
C20H8orf76	C20H8orf76	red
Col14a1	Col14a1	red
Tnfrsf11b	Tnfrsf11b	red
Dpys	Dpys	red
Cpq	Cpq	red
LOC143269755	LOC143269755	red
Lynx1	Lynx1	red
Ly6s	Ly6s	red
Gsdmd	Gsdmd	red
Parp10	Parp10	red
Rac2	Rac2	red
Gcat	Gcat	red
Tnfrsf13c	Tnfrsf13c	red
Serhl2	Serhl2	red
Fbln1	Fbln1	red
Wnt7b	Wnt7b	red
Irak4	Irak4	red
Bin2	Bin2	red
LOC121824386	LOC121824386	red
LOC102918688	LOC102918688	red
Krt18	Krt18	red
Igfbp6	Igfbp6	red
Nfe2	Nfe2	red
Nckap1l	Nckap1l	red
LOC102917240	LOC102917240	red
Ppp1r18	Ppp1r18	red
Nrm	Nrm	red
Ier3	Ier3	red
Atp6v1g2	Atp6v1g2	red
Aif1	Aif1	red
Clic1	Clic1	red
Lsm2	Lsm2	red
Nelfe	Nelfe	red
Tnxb	Tnxb	red
LOC102914628	LOC102914628	red
LOC102912969	LOC102912969	red
LOC102911902	LOC102911902	red
Tap2	Tap2	red
Psmb8	Psmb8	red
Tap1	Tap1	red
Psmb9	Psmb9	red
LOC143266828	LOC143266828	red
LOC102916386	LOC102916386	red
Tapbp	Tapbp	red
Itpr3	Itpr3	red
Dnah8	Dnah8	red
LOC102926208	LOC102926208	red
Wdr4	Wdr4	red
Icoslg	Icoslg	red
Col18a1	Col18a1	red
Slc19a1	Slc19a1	red
Col6a1	Col6a1	red
Col6a2	Col6a2	red
LOC102918464	LOC102918464	red
Susd2	Susd2	red
LOC143269850	LOC143269850	red
Bicc1	Bicc1	red
Slc16a9	Slc16a9	red
Tmem26	Tmem26	red
LOC121824887	LOC121824887	red
Dnajc12	Dnajc12	red
Mypn	Mypn	red
LOC143269867	LOC143269867	red
Col13a1	Col13a1	red
C21H10orf105	C21H10orf105	red
LOC107402360	LOC107402360	red
LOC143269922	LOC143269922	red
Ptk7	Ptk7	red
Mrps18a	Mrps18a	red
Drc5	Drc5	red
Tram2	Tram2	red
Plin4	Plin4	red
Rfx2	Rfx2	red
LOC102910862	LOC102910862	red
Vav1	Vav1	red
Adgre1	Adgre1	red
Myo1f	Myo1f	red
Angptl4	Angptl4	red
Kank3	Kank3	red
Emilin1	Emilin1	red
LOC143270178	LOC143270178	red
Laptm4a	Laptm4a	red
Osr1	Osr1	red
Greb1	Greb1	red
Id2	Id2	red
Xdh	Xdh	red
Ltbp1	Ltbp1	red
Cdkl4	Cdkl4	red
Plekhh2	Plekhh2	red
Six2	Six2	red
Ttc7a	Ttc7a	red
Ston1	Ston1	red
Pole	Pole	red
Hscb	Hscb	red
Srrd	Srrd	red
LOC107402116	LOC107402116	red
Tmem119	Tmem119	red
Selplg	Selplg	red
Acads	Acads	red
Hspb8	Hspb8	red
Slc8b1	Slc8b1	red
Drc10	Drc10	red
Aldh2	Aldh2	red
Hcar1	Hcar1	red
LOC121825382	LOC121825382	red
Gusb	Gusb	red
Eln	Eln	red
Col26a1	Col26a1	red
Trim56	Trim56	red
Ephb4	Ephb4	red
Pcolce	Pcolce	red
Gal3st4	Gal3st4	red
Arpc1b	Arpc1b	red
Gper1	Gper1	red
Medag	Medag	red
Alox5ap	Alox5ap	red
Gtf3a	Gtf3a	red
Dkc1	Dkc1	red
LOC143271016	LOC143271016	red
Fam3a	Fam3a	red
Renbp	Renbp	red
Bgn	Bgn	red
Haus7	Haus7	red
Ldoc1	Ldoc1	red
LOC143271015	LOC143271015	red
Gpc3	Gpc3	red
Sash3	Sash3	red
Xpnpep2	Xpnpep2	red
Col4a5	Col4a5	red
Col4a6	Col4a6	red
Srpx2	Srpx2	red
Tnmd	Tnmd	red
Hmgn5	Hmgn5	red
Itm2a	Itm2a	red
LOC102906458	LOC102906458	red
Il2rg	Il2rg	red
Eda	Eda	red
Vsig4	Vsig4	red
Msn	Msn	red
Vegfd	Vegfd	red
Timp1	Timp1	red
Ndp	Ndp	red
Srpx	Srpx	red
Cybb	Cybb	red
Slc38a5	Slc38a5	red
Was	Was	red
LOC143270769	LOC143270769	red
Bmp15	Bmp15	red
Alas2	Alas2	red
