nodeName	altName	nodeAttr[nodesPresent, ]
Ttyh1	Ttyh1	red
LOC107400190	LOC107400190	red
LOC102908074	LOC102908074	red
Six5	Six5	red
Vasp	Vasp	red
Ckm	Ckm	red
Apoc1	Apoc1	red
Apoe	Apoe	red
Bcam	Bcam	red
Bcl3	Bcl3	red
Kcnn4	Kcnn4	red
Axl	Axl	red
Plekhg2	Plekhg2	red
Pih1d1	Pih1d1	red
Fcgrt	Fcgrt	red
Rras	Rras	red
Siglec10	Siglec10	red
Fxyd3	Fxyd3	red
Lgi4	Lgi4	red
Fxyd1	Fxyd1	red
Hcst	Hcst	red
Tyrobp	Tyrobp	red
Spint2	Spint2	red
Plekha4	Plekha4	red
Sult2b1	Sult2b1	red
Emp3	Emp3	red
Aldh1a3	Aldh1a3	red
Ttc23	Ttc23	red
Pgpep1l	Pgpep1l	red
Fam174b	Fam174b	red
St8sia2	St8sia2	red
LOC143267450	LOC143267450	red
Cib1	Cib1	red
Adamtsl3	Adamtsl3	red
Cemip	Cemip	red
Ctsc	Ctsc	red
LOC143267767	LOC143267767	red
Aamdc	Aamdc	red
Lrrc32	Lrrc32	red
Mogat2	Mogat2	red
Klhl35	Klhl35	red
P2ry2	P2ry2	red
Arap1	Arap1	red
LOC102911454	LOC102911454	red
Lrrc51	Lrrc51	red
LOC102926262	LOC102926262	red
Cavin3	Cavin3	red
Swap70	Swap70	red
Dkk3	Dkk3	red
Cyp2r1	Cyp2r1	red
Acsm5	Acsm5	red
LOC121831585	LOC121831585	red
LOC143268834	LOC143268834	red
LOC143268849	LOC143268849	red
LOC102923800	LOC102923800	red
LOC121831704	LOC121831704	red
LOC107401232	LOC107401232	red
LOC102924842	LOC102924842	red
Itgam	Itgam	red
Cpxm2	Cpxm2	red
Oat	Oat	red
Fank1	Fank1	red
Bet1l	Bet1l	red
LOC102928591	LOC102928591	red
LOC102903088	LOC102903088	red
Rnh1	Rnh1	red
Tmem80	Tmem80	red
Cd151	Cd151	red
Lsp1	Lsp1	red
LOC102927506	LOC102927506	red
Igf2	Igf2	red
Tspan32	Tspan32	red
Cdkn1c	Cdkn1c	red
Slc67a1	Slc67a1	red
Ccnd1	Ccnd1	red
LOC102903718	LOC102903718	red
Cd248	Cd248	red
Rela	Rela	red
LOC143269927	LOC143269927	red
Znhit2	Znhit2	red
Batf2	Batf2	red
Fermt3	Fermt3	red
Lgals12	Lgals12	red
Slc22a8	Slc22a8	red
LOC107399749	LOC107399749	red
Slc22a6	Slc22a6	red
Slc3a2	Slc3a2	red
Tmem179b	Tmem179b	red
Lrrn4cl	Lrrn4cl	red
Rom1	Rom1	red
Eml3	Eml3	red
Ahnak	Ahnak	red
Fth1	Fth1	red
Cyb561a3	Cyb561a3	red
