nodeName	altName	nodeAttr[nodesPresent, ]
LOC143273233	LOC143273233	darkviolet
Ccdc8	Ccdc8	darkviolet
LOC121828689	LOC121828689	darkviolet
Scnn1g	Scnn1g	darkviolet
LOC121832725	LOC121832725	darkviolet
Eps8l2	Eps8l2	darkviolet
Mrgprf	Mrgprf	darkviolet
Naaladl1	Naaladl1	darkviolet
Chd7	Chd7	darkviolet
Ca8	Ca8	darkviolet
Svep1	Svep1	darkviolet
Tlr4	Tlr4	darkviolet
Epb41	Epb41	darkviolet
Rps6ka1	Rps6ka1	darkviolet
Tex46	Tex46	darkviolet
Espn	Espn	darkviolet
Hes3	Hes3	darkviolet
En2	En2	darkviolet
Cnpy1	Cnpy1	darkviolet
Chn2	Chn2	darkviolet
Ppp1r17	Ppp1r17	darkviolet
Pde1c	Pde1c	darkviolet
Grid2	Grid2	darkviolet
LOC143272478	LOC143272478	darkviolet
LOC102921329	LOC102921329	darkviolet
Tprn	Tprn	darkviolet
Itgb6	Itgb6	darkviolet
LOC143272595	LOC143272595	darkviolet
Neurod1	Neurod1	darkviolet
Pax6	Pax6	darkviolet
LOC143272978	LOC143272978	darkviolet
Shf	Shf	darkviolet
LOC121829350	LOC121829350	darkviolet
Cbln1	Cbln1	darkviolet
Adamts18	Adamts18	darkviolet
Cdh15	Cdh15	darkviolet
Il15ra	Il15ra	darkviolet
Tfap2a	Tfap2a	darkviolet
LOC102917380	LOC102917380	darkviolet
LOC121829640	LOC121829640	darkviolet
Lrrc31	Lrrc31	darkviolet
LOC121830174	LOC121830174	darkviolet
Casq2	Casq2	darkviolet
LOC102912160	LOC102912160	darkviolet
Mmp13	Mmp13	darkviolet
Rgl3	Rgl3	darkviolet
Cdon	Cdon	darkviolet
Crtam	Crtam	darkviolet
Tmem266	Tmem266	darkviolet
Skor1	Skor1	darkviolet
Impg1	Impg1	darkviolet
Dipk2a	Dipk2a	darkviolet
Tlx3	Tlx3	darkviolet
Gabra6	Gabra6	darkviolet
Il5	Il5	darkviolet
Fat2	Fat2	darkviolet
Sox15	Sox15	darkviolet
Atp2a3	Atp2a3	darkviolet
Znf385c	Znf385c	darkviolet
Gprc5c	Gprc5c	darkviolet
LOC102927763	LOC102927763	darkviolet
LOC143267034	LOC143267034	darkviolet
LOC143267091	LOC143267091	darkviolet
Ush1g	Ush1g	darkviolet
Cbln3	Cbln3	darkviolet
Barhl2	Barhl2	darkviolet
LOC143267755	LOC143267755	darkviolet
C11H1orf105	C11H1orf105	darkviolet
LOC143267733	LOC143267733	darkviolet
B3gnt5	B3gnt5	darkviolet
LOC121822165	LOC121822165	darkviolet
LOC143268321	LOC143268321	darkviolet
LOC121822092	LOC121822092	darkviolet
Fzd7	Fzd7	darkviolet
Stk17b	Stk17b	darkviolet
Dpf3	Dpf3	darkviolet
LOC102903525	LOC102903525	darkviolet
Tll1	Tll1	darkviolet
Ido2	Ido2	darkviolet
Stab2	Stab2	darkviolet
Myrfl	Myrfl	darkviolet
Nrep	Nrep	darkviolet
Cep76	Cep76	darkviolet
Skor2	Skor2	darkviolet
Ly6g6d	Ly6g6d	darkviolet
Mapk13	Mapk13	darkviolet
Atoh7	Atoh7	darkviolet
Slc1a6	Slc1a6	darkviolet
Arhgef33	Arhgef33	darkviolet
Ccdc63	Ccdc63	darkviolet
Pcp2	Pcp2	darkviolet
Nrk	Nrk	darkviolet
