nodeName	altName	nodeAttr[nodesPresent, ]
LOC121827205	LOC121827205	pink
Ssc5d	Ssc5d	pink
LOC102915140	LOC102915140	pink
Znf274	Znf274	pink
LOC143273086	LOC143273086	pink
Ube2m	Ube2m	pink
LOC143272573	LOC143272573	pink
LOC102924282	LOC102924282	pink
Rsph6a	Rsph6a	pink
LOC102905957	LOC102905957	pink
Lypd5	Lypd5	pink
Irgc	Irgc	pink
LOC107399506	LOC107399506	pink
LOC143273977	LOC143273977	pink
Acp7	Acp7	pink
Hrc	Hrc	pink
Aldh16a1	Aldh16a1	pink
Prrg2	Prrg2	pink
Josd2	Josd2	pink
Aspdh	Aspdh	pink
Ceacam18	Ceacam18	pink
Siglecl1	Siglecl1	pink
LOC143274310	LOC143274310	pink
Plekhf1	Plekhf1	pink
Znf536	Znf536	pink
Tdrd12	Tdrd12	pink
Mag	Mag	pink
Alkbh6	Alkbh6	pink
Ppp1r14a	Ppp1r14a	pink
Sirt2	Sirt2	pink
Ntn5	Ntn5	pink
LOC143266892	LOC143266892	pink
Myod1	Myod1	pink
LOC143271185	LOC143271185	pink
Svip	Svip	pink
Luzp2	Luzp2	pink
Atp10a	Atp10a	pink
Pcsk6	Pcsk6	pink
Pde8a	Pde8a	pink
Plekhb1	Plekhb1	pink
Inppl1	Inppl1	pink
Rhog	Rhog	pink
Trim6	Trim6	pink
Akip1	Akip1	pink
Insc	Insc	pink
Ccp110	Ccp110	pink
Gprc5b	Gprc5b	pink
Slc5a11	Slc5a11	pink
Septin1	Septin1	pink
LOC121832182	LOC121832182	pink
Fgfr2	Fgfr2	pink
Nkx6-2	Nkx6-2	pink
Tspan4	Tspan4	pink
LOC143269639	LOC143269639	pink
Nadsyn1	Nadsyn1	pink
LOC102923691	LOC102923691	pink
Fgf3	Fgf3	pink
Cpt1a	Cpt1a	pink
Lrp5	Lrp5	pink
Acy3	Acy3	pink
LOC102906209	LOC102906209	pink
Tmem134	Tmem134	pink
Carns1	Carns1	pink
Pold4	Pold4	pink
Mrpl11	Mrpl11	pink
Catsper1	Catsper1	pink
Mus81	Mus81	pink
LOC143269925	LOC143269925	pink
Cdc42ep2	Cdc42ep2	pink
Pola2	Pola2	pink
Capn1	Capn1	pink
Cdc42bpg	Cdc42bpg	pink
Pygm	Pygm	pink
Trpt1	Trpt1	pink
Atl3	Atl3	pink
Rab3il1	Rab3il1	pink
Fads2	Fads2	pink
Myrf	Myrf	pink
LOC102923175	LOC102923175	pink
Cntf	Cntf	pink
Ostf1	Ostf1	pink
Nmrk1	Nmrk1	pink
LOC102922906	LOC102922906	pink
Fxn	Fxn	pink
Cd274	Cd274	pink
Ppp1r3c	Ppp1r3c	pink
Hhex	Hhex	pink
Plce1	Plce1	pink
LOC143266798	LOC143266798	pink
Blnk	Blnk	pink
Opalin	Opalin	pink
Tll2	Tll2	pink
Arhgap19	Arhgap19	pink
Hoga1	Hoga1	pink
LOC102911122	LOC102911122	pink
LOC102915706	LOC102915706	pink
Trub1	Trub1	pink
Adhfe1	Adhfe1	pink
LOC107400947	LOC107400947	pink
Pex2	Pex2	pink
LOC102910756	LOC102910756	pink
Ca2	Ca2	pink
LOC121826342	LOC121826342	pink
Ripk2	Ripk2	pink
Gem	Gem	pink
Plekhf2	Plekhf2	pink
Rigi	Rigi	pink
Bag1	Bag1	pink
Slc44a1	Slc44a1	pink
Lpar1	Lpar1	pink
Cntln	Cntln	pink
Haus6	Haus6	pink
Acer2	Acer2	pink
LOC102922647	LOC102922647	pink
Tek	Tek	pink
LOC102903374	LOC102903374	pink
Scp2	Scp2	pink
LOC121820826	LOC121820826	pink
LOC143271950	LOC143271950	pink
Efcab14	Efcab14	pink
LOC121827339	LOC121827339	pink
Tex38	Tex38	pink
Mob3c	Mob3c	pink
Tesk2	Tesk2	pink
Rps8	Rps8	pink
Elovl1	Elovl1	pink
Tmem125	Tmem125	pink
Slc2a1	Slc2a1	pink
Zmynd12	Zmynd12	pink
LOC143271975	LOC143271975	pink
Mfsd2a	Mfsd2a	pink
Ndufs5	Ndufs5	pink
LOC121827356	LOC121827356	pink
Ak2	Ak2	pink
Matn1	Matn1	pink
Ldlrap1	Ldlrap1	pink
Clic4	Clic4	pink
Pink1	Pink1	pink
LOC143272042	LOC143272042	pink
Necap2	Necap2	pink
Szrd1	Szrd1	pink
Park7	Park7	pink
Vamp3	Vamp3	pink
LOC102907179	LOC102907179	pink
LOC143272084	LOC143272084	pink
Tmem278	Tmem278	pink
Gpr37	Gpr37	pink
LOC143272258	LOC143272258	pink
LOC143272262	LOC143272262	pink
LOC107402875	LOC107402875	pink
Crot	Crot	pink
Sema3d	Sema3d	pink
Fam185a	Fam185a	pink
LOC143272295	LOC143272295	pink
Wdr91	Wdr91	pink
LOC143272318	LOC143272318	pink
Podxl	Podxl	pink
LOC143272323	LOC143272323	pink
Gimap8	Gimap8	pink
Nfe2l3	Nfe2l3	pink
Creb5	Creb5	pink
Gng12	Gng12	pink
Krcc1	Krcc1	pink
Eva1a	Eva1a	pink
Dok1	Dok1	pink
LOC102910236	LOC102910236	pink
Efcc1	Efcc1	pink
Gata2	Gata2	pink
Klf15	Klf15	pink
Ninj2	Ninj2	pink
Eps8	Eps8	pink
Pde3a	Pde3a	pink
Bhlhe41	Bhlhe41	pink
Sspn	Sspn	pink
Gsn	Gsn	pink
Traf1	Traf1	pink
Niban2	Niban2	pink
Fubp3	Fubp3	pink
LOC121829015	LOC121829015	pink
Trub2	Trub2	pink
Agpat2	Agpat2	pink
Lcn6	Lcn6	pink
Paxx	Paxx	pink
Entpd2	Entpd2	pink
Sapcd2	Sapcd2	pink
Uap1l1	Uap1l1	pink
Rnf224	Rnf224	pink
Psd4	Psd4	pink
Il36b	Il36b	pink
Qtman	Qtman	pink
Fmnl2	Fmnl2	pink
Ermn	Ermn	pink
Pkp4	Pkp4	pink
Cobll1	Cobll1	pink
Mettl8	Mettl8	pink
Wipf1	Wipf1	pink
LOC143272899	LOC143272899	pink
Itprid2	Itprid2	pink
Prg2	Prg2	pink
Prg3	Prg3	pink
Creb3l1	Creb3l1	pink
LOC107401874	LOC107401874	pink
Prr5l	Prr5l	pink
Cd44	Cd44	pink
