nodeName	altName	nodeAttr[nodesPresent, ]
Kif18a	Kif18a	pink
Arhgap11a	Arhgap11a	pink
Bmf	Bmf	pink
Rad51	Rad51	pink
Dll4	Dll4	pink
Chp1	Chp1	pink
Ganc	Ganc	pink
Mapda	Mapda	pink
LOC121828794	LOC121828794	pink
Sord	Sord	pink
Gatm	Gatm	pink
Sqor	Sqor	pink
Astl	Astl	pink
LOC102910795	LOC102910795	pink
Mal	Mal	pink
LOC121828837	LOC121828837	pink
LOC121828839	LOC121828839	pink
Tgm3	Tgm3	pink
Mrps26	Mrps26	pink
Itpa	Itpa	pink
Slc4a11	Slc4a11	pink
Hspa12b	Hspa12b	pink
Cenpb	Cenpb	pink
Slx4ip	Slx4ip	pink
Ism1	Ism1	pink
Snx5	Snx5	pink
Mgme1	Mgme1	pink
Kiz	Kiz	pink
Nkx2-2	Nkx2-2	pink
LOC121828881	LOC121828881	pink
Acss1	Acss1	pink
Sdcbp2	Sdcbp2	pink
Pdrg1	Pdrg1	pink
Tp53inp2	Tp53inp2	pink
Myh7b	Myh7b	pink
LOC121828915	LOC121828915	pink
LOC102924190	LOC102924190	pink
Slc2a10	Slc2a10	pink
Dbndd2	Dbndd2	pink
Sdc4	Sdc4	pink
Bcas1	Bcas1	pink
Sycp2	Sycp2	pink
LOC102928599	LOC102928599	pink
LOC102906708	LOC102906708	pink
Pllp	Pllp	pink
LOC143273244	LOC143273244	pink
LOC143273112	LOC143273112	pink
Lpcat2	Lpcat2	pink
LOC102927372	LOC102927372	pink
Trir	Trir	pink
Znf330	Znf330	pink
Gab1	Gab1	pink
Hhip	Hhip	pink
Mmaa	Mmaa	pink
Hmgxb4	Hmgxb4	pink
Tppp3	Tppp3	pink
Fa2h	Fa2h	pink
Tmem170a	Tmem170a	pink
Foxf1	Foxf1	pink
Banp	Banp	pink
LOC102923343	LOC102923343	pink
Acta1	Acta1	pink
Kcnk1	Kcnk1	pink
LOC121829474	LOC121829474	pink
LOC143273365	LOC143273365	pink
Pip4k2a	Pip4k2a	pink
LOC143273378	LOC143273378	pink
Mcm10	Mcm10	pink
Echdc3	Echdc3	pink
Prkcq	Prkcq	pink
LOC102910385	LOC102910385	pink
LOC143273407	LOC143273407	pink
Mplkip	Mplkip	pink
Sfrp4	Sfrp4	pink
Zscan12	Zscan12	pink
Zscan31	Zscan31	pink
LOC102920665	LOC102920665	pink
LOC143273425	LOC143273425	pink
Abt1	Abt1	pink
LOC143273426	LOC143273426	pink
LOC102908084	LOC102908084	pink
LOC121829691	LOC121829691	pink
Acot13	Acot13	pink
Tdp2	Tdp2	pink
LOC121829563	LOC121829563	pink
Nrsn1	Nrsn1	pink
LOC143273447	LOC143273447	pink
Pxdc1	Pxdc1	pink
Nol7	Nol7	pink
Kdm1b	Kdm1b	pink
Card19	Card19	pink
Uimc1	Uimc1	pink
Fgfr4	Fgfr4	pink
LOC102924302	LOC102924302	pink
Acad9	Acad9	pink
LOC107401777	LOC107401777	pink
Sec62	Sec62	pink
Cldn11	Cldn11	pink
C6H4orf33	C6H4orf33	pink
Wwtr1	Wwtr1	pink
Rnf13	Rnf13	pink
Trim59	Trim59	pink
Otol1	Otol1	pink
Bche	Bche	pink
Serpini2	Serpini2	pink
Tmem144	Tmem144	pink
Arfip1	Arfip1	pink
Fbxw7	Fbxw7	pink
Etv3l	Etv3l	pink
Mrpl24	Mrpl24	pink
Thbs3	Thbs3	pink
She	She	pink
LOC107401146	LOC107401146	pink
S100a8	S100a8	pink
LOC102916390	LOC102916390	pink
LOC102911562	LOC102911562	pink
Cers2	Cers2	pink
Ca14	Ca14	pink
Anp32e	Anp32e	pink
Mtmr11	Mtmr11	pink
LOC102906221	LOC102906221	pink
LOC121830240	LOC121830240	pink
LOC121830274	LOC121830274	pink
LOC121830495	LOC121830495	pink
Tmem167b	Tmem167b	pink
Stxbp3	Stxbp3	pink
LOC102918676	LOC102918676	pink
LOC102904345	LOC102904345	pink
Arhgap29	Arhgap29	pink
Arln	Arln	pink
Ugt8	Ugt8	pink
LOC102904470	LOC102904470	pink
Sh3glb1	Sh3glb1	pink
Ctbs	Ctbs	pink
Adgrl4	Adgrl4	pink
Pigk	Pigk	pink
St6galnac3	St6galnac3	pink
Tyw3	Tyw3	pink
Cryz	Cryz	pink
Birc2	Birc2	pink
S1pr5	S1pr5	pink
LOC121830762	LOC121830762	pink
Anln	Anln	pink
LOC121830771	LOC121830771	pink
Jam3	Jam3	pink
Ets1	Ets1	pink
St3gal4	St3gal4	pink
LOC121830789	LOC121830789	pink
LOC121830800	LOC121830800	pink
Mcam	Mcam	pink
Upk2	Upk2	pink
Phldb1	Phldb1	pink
Cfap68	Cfap68	pink
Cib2	Cib2	pink
Snx33	Snx33	pink
Snapc5	Snapc5	pink
Snx22	Snx22	pink
Cgnl1	Cgnl1	pink
Tex9	Tex9	pink
Rab27a	Rab27a	pink
Tmod3	Tmod3	pink
Elovl5	Elovl5	pink
Myo6	Myo6	pink
Plod2	Plod2	pink
LOC102911884	LOC102911884	pink
LOC121830952	LOC121830952	pink
Ryk	Ryk	pink
Tf	Tf	pink
Acy1	Acy1	pink
Parp3	Parp3	pink
Amt	Amt	pink
Iho1	Iho1	pink
LOC121831231	LOC121831231	pink
Pth1r	Pth1r	pink
Rtp3	Rtp3	pink
Cmc1	Cmc1	pink
Vill	Vill	pink
Mobp	Mobp	pink
LOC102920757	LOC102920757	pink
Nde1	Nde1	pink
LOC143274523	LOC143274523	pink
Litaf	Litaf	pink
Carhsp1	Carhsp1	pink
Sec14l5	Sec14l5	pink
Nmral1	Nmral1	pink
Nlrc3	Nlrc3	pink
LOC143274531	LOC143274531	pink
Mmp25	Mmp25	pink
Thoc6	Thoc6	pink
LOC107399927	LOC107399927	pink
LOC121831715	LOC121831715	pink
Amdhd2	Amdhd2	pink
Nherf2	Nherf2	pink
Gfer	Gfer	pink
Lcp2	Lcp2	pink
Mrpl28	Mrpl28	pink
LOC107402420	LOC107402420	pink
Atp10b	Atp10b	pink
LOC143274554	LOC143274554	pink
Nipal4	Nipal4	pink
Itk	Itk	pink
Havcr2	Havcr2	pink
LOC102924806	LOC102924806	pink
LOC121831772	LOC121831772	pink
Adamts2	Adamts2	pink
LOC121831580	LOC121831580	pink
Cdkl3	Cdkl3	pink
Acsl6	Acsl6	pink
Gjc2	Gjc2	pink
Natd1	Natd1	pink
LOC102906362	LOC102906362	pink
Tmem220	Tmem220	pink
LOC143266888	LOC143266888	pink
LOC143266895	LOC143266895	pink
LOC102903566	LOC102903566	pink
Kif1c	Kif1c	pink
Rpain	Rpain	pink
Cyb5d2	Cyb5d2	pink
Aspa	Aspa	pink
Tlcd3a	Tlcd3a	pink
Mrm3	Mrm3	pink
Tlcd1	Tlcd1	pink
Aldoc	Aldoc	pink
LOC121831372	LOC121831372	pink
Nos2	Nos2	pink
LOC143266927	LOC143266927	pink
Evi2a	Evi2a	pink
Myo1d	Myo1d	pink
Tmem98	Tmem98	pink
Rffl	Rffl	pink
LOC102925307	LOC102925307	pink
LOC143266806	LOC143266806	pink
LOC102909716	LOC102909716	pink
Mrm1	Mrm1	pink
Dhrs11	Dhrs11	pink
Pigw	Pigw	pink
Tbx2	Tbx2	pink
Septin4	Septin4	pink
Epx	Epx	pink
Mrps23	Mrps23	pink
Utp18	Utp18	pink
Mbtd1	Mbtd1	pink
LOC107402832	LOC107402832	pink
Ankrd40	Ankrd40	pink
Calcoco2	Calcoco2	pink
Cnp	Cnp	pink
Hsd17b1	Hsd17b1	pink
Tmem106a	Tmem106a	pink
Rdm1	Rdm1	pink
Slc4a1	Slc4a1	pink
C1ql1	C1ql1	pink
Acbd4	Acbd4	pink
LOC121831478	LOC121831478	pink
Gna13	Gna13	pink
Wipi1	Wipi1	pink
Ttyh2	Ttyh2	pink
Tmc6	Tmc6	pink
LOC121832225	LOC121832225	pink
Sema3g	Sema3g	pink
Glud1	Glud1	pink
Sncg	Sncg	pink
LOC102925978	LOC102925978	pink
Prxl2a	Prxl2a	pink
Zcchc24	Zcchc24	pink
LOC102908204	LOC102908204	pink
Kcnk5	Kcnk5	pink
LOC102916718	LOC102916718	pink
LOC102909736	LOC102909736	pink
Ktn1	Ktn1	pink
LOC143267364	LOC143267364	pink
LOC102925067	LOC102925067	pink
Tmem253	Tmem253	pink
Abhd4	Abhd4	pink
Haus4	Haus4	pink
Cmtm5	Cmtm5	pink
LOC143267386	LOC143267386	pink
Irf9	Irf9	pink
Gjb6	Gjb6	pink
Scara3	Scara3	pink
Ephx2	Ephx2	pink
Lpar6	Lpar6	pink
Lcp1	Lcp1	pink
Elf1	Elf1	pink
Diaph3	Diaph3	pink
Bora	Bora	pink
Pibf1	Pibf1	pink
Slain1	Slain1	pink
LOC107399834	LOC107399834	pink
Gpc5	Gpc5	pink
Uggt2	Uggt2	pink
Fgfr3	Fgfr3	pink
Gal3st1	Gal3st1	pink
Tns3	Tns3	pink
LOC121832686	LOC121832686	pink
Tmem17	Tmem17	pink
LOC107400960	LOC107400960	pink
Vrk2	Vrk2	pink
Clhc1	Clhc1	pink
Acyp2	Acyp2	pink
LOC143267590	LOC143267590	pink
Qdpr	Qdpr	pink
Lap3	Lap3	pink
Dcaf16	Dcaf16	pink
Sepsecs	Sepsecs	pink
Klhl5	Klhl5	pink
Ugdh	Ugdh	pink
LOC102909658	LOC102909658	pink
Hsd17b13	Hsd17b13	pink
Sparcl1	Sparcl1	pink
LOC143267677	LOC143267677	pink
LOC102918786	LOC102918786	pink
Fgfrl1	Fgfrl1	pink
LOC143267761	LOC143267761	pink
Cdh19	Cdh19	pink
Ralb	Ralb	pink
Steap3	Steap3	pink
Rab7b	Rab7b	pink
Slc45a3	Slc45a3	pink
Mybph	Mybph	pink
Gpr37l1	Gpr37l1	pink
Csrp1	Csrp1	pink
LOC143267810	LOC143267810	pink
Kiaa1614	Kiaa1614	pink
LOC121821312	LOC121821312	pink
Tor3a	Tor3a	pink
LOC102905544	LOC102905544	pink
Cacybp	Cacybp	pink
Mettl18	Mettl18	pink
Rcsd1	Rcsd1	pink
LOC121821333	LOC121821333	pink
Creg1	Creg1	pink
LOC143267823	LOC143267823	pink
Rgs5	Rgs5	pink
LOC143267825	LOC143267825	pink
Adamts4	Adamts4	pink
Klhdc9	Klhdc9	pink
F11r	F11r	pink
Atp1a2	Atp1a2	pink
Dusp23	Dusp23	pink
LOC102922505	LOC102922505	pink
Drc8	Drc8	pink
Itpkb	Itpkb	pink
Tmem63a	Tmem63a	pink
Lbr	Lbr	pink
Tp53bp2	Tp53bp2	pink
Batf3	Batf3	pink
LOC121821398	LOC121821398	pink
Atf3	Atf3	pink
Nenf	Nenf	pink
LOC121826669	LOC121826669	pink
Traf5	Traf5	pink
LOC107402597	LOC107402597	pink
Traf3ip3	Traf3ip3	pink
Lamb3	Lamb3	pink
LOC121821416	LOC121821416	pink
Comt	Comt	pink
Cldn5	Cldn5	pink
Adipoq	Adipoq	pink
St6gal1	St6gal1	pink
Masp1	Masp1	pink
LOC102918799	LOC102918799	pink
LOC121821565	LOC121821565	pink
Atp13a4	Atp13a4	pink
Apod	Apod	pink
Ncbp2	Ncbp2	pink
Slc51a	Slc51a	pink
Slc15a2	Slc15a2	pink
Atg3	Atg3	pink
LOC102922975	LOC102922975	pink
Cpox	Cpox	pink
Nsun3	Nsun3	pink
C12H21orf91	C12H21orf91	pink
LOC143268154	LOC143268154	pink
Cyyr1	Cyyr1	pink
Rwdd2b	Rwdd2b	pink
Olig1	Olig1	pink
Kcne1	Kcne1	pink
Erg	Erg	pink
LOC102915384	LOC102915384	pink
Efhd1	Efhd1	pink
Trpm8	Trpm8	pink
Spp2	Spp2	pink
Septin2	Septin2	pink
Dtymk	Dtymk	pink
Rab31	Rab31	pink
Washc1	Washc1	pink
LOC121822050	LOC121822050	pink
Slc11a1	Slc11a1	pink
Tmbim1	Tmbim1	pink
LOC107399417	LOC107399417	pink
Smarcal1	Smarcal1	pink
Acadl	Acadl	pink
Mdh1b	Mdh1b	pink
Cyp20a1	Cyp20a1	pink
Cdk15	Cdk15	pink
Trak2	Trak2	pink
Kctd18	Kctd18	pink
Plcl1	Plcl1	pink
Rftn2	Rftn2	pink
Cavin2	Cavin2	pink
Slc40a1	Slc40a1	pink
Pygl	Pygl	pink
Sptssa	Sptssa	pink
LOC102908448	LOC102908448	pink
LOC102911309	LOC102911309	pink
Polr1f	Polr1f	pink
Sypl1	Sypl1	pink
Hbp1	Hbp1	pink
Plekhg3	Plekhg3	pink
Plekhh1	Plekhh1	pink
Bbof1	Bbof1	pink
LOC102910081	LOC102910081	pink
LOC121822460	LOC121822460	pink
LOC121820892	LOC121820892	pink
LOC102920977	LOC102920977	pink
LOC102917436	LOC102917436	pink
LOC102917133	LOC102917133	pink
Adss1	Adss1	pink
Ahnak2	Ahnak2	pink
Mrpl36	Mrpl36	pink
Srd5a1	Srd5a1	pink
LOC102926918	LOC102926918	pink
LOC107401569	LOC107401569	pink
Atpsckmt	Atpsckmt	pink
Il7r	Il7r	pink
LOC121822728	LOC121822728	pink
LOC121822740	LOC121822740	pink
Selenop	Selenop	pink
Snx18	Snx18	pink
Elovl7	Elovl7	pink
Ndufaf2	Ndufaf2	pink
Adgrv1	Adgrv1	pink
Polr3g	Polr3g	pink
Dmgdh	Dmgdh	pink
LOC143268708	LOC143268708	pink
F2r	F2r	pink
Erbin	Erbin	pink
Ocln	Ocln	pink
Cd164	Cd164	pink
C16H6orf58	C16H6orf58	pink
Fbxo30	Fbxo30	pink
Fbxo5	Fbxo5	pink
Tmem242	Tmem242	pink
LOC121823268	LOC121823268	pink
Qki	Qki	pink
Prr18	Prr18	pink
Tmem221	Tmem221	pink
Sh2d4a	Sh2d4a	pink
Fbxo8	Fbxo8	pink
Enpp6	Enpp6	pink
LOC121823360	LOC121823360	pink
Ppp1r3b	Ppp1r3b	pink
Pofut3	Pofut3	pink
Rnf122	Rnf122	pink
Golga7	Golga7	pink
Thsd1	Thsd1	pink
Atp7b	Atp7b	pink
Arhgef10	Arhgef10	pink
LOC143269082	LOC143269082	pink
LOC143269349	LOC143269349	pink
Rfx4	Rfx4	pink
LOC143269241	LOC143269241	pink
Chpt1	Chpt1	pink
LOC121823724	LOC121823724	pink
Ccdc38	Ccdc38	pink
Ntn4	Ntn4	pink
LOC143269419	LOC143269419	pink
Rlig1	Rlig1	pink
Tmtc2	Tmtc2	pink
LOC143269154	LOC143269154	pink
Mettl25	Mettl25	pink
LOC143269166	LOC143269166	pink
Frs2	Frs2	pink
Erbb3	Erbb3	pink
Zbtb39	Zbtb39	pink
Coxfa4l2	Coxfa4l2	pink
LOC102923976	LOC102923976	pink
Rbbp8	Rbbp8	pink
LOC121824057	LOC121824057	pink
Lims2	Lims2	pink
Myo7b	Myo7b	pink
Gypc	Gypc	pink
LOC121824055	LOC121824055	pink
Cd14	Cd14	pink
LOC143266813	LOC143266813	pink
Rell2	Rell2	pink
Dele1	Dele1	pink
LOC121824016	LOC121824016	pink
C19H5orf46	C19H5orf46	pink
LOC143269582	LOC143269582	pink
LOC143269587	LOC143269587	pink
Ppic	Ppic	pink
Gramd2b	Gramd2b	pink
Slc12a2	Slc12a2	pink
Afap1l1	Afap1l1	pink
Sh3tc2	Sh3tc2	pink
LOC102928353	LOC102928353	pink
Me2	Me2	pink
LOC143269619	LOC143269619	pink
Pstpip2	Pstpip2	pink
Txnl4a	Txnl4a	pink
Mbp	Mbp	pink
LOC143269637	LOC143269637	pink
Dipk1c	Dipk1c	pink
LOC121823896	LOC121823896	pink
Tyw2	Tyw2	pink
Klhl38	Klhl38	pink
Sntb1	Sntb1	pink
Mtbp	Mtbp	pink
Fzd6	Fzd6	pink
Rida	Rida	pink
Mtdh	Mtdh	pink
LOC143269747	LOC143269747	pink
Ndrg1	Ndrg1	pink
LOC121824514	LOC121824514	pink
Ptp4a3	Ptp4a3	pink
LOC143269769	LOC143269769	pink
Gfus	Gfus	pink
Exosc4	Exosc4	pink
LOC102902778	LOC102902778	pink
LOC121824265	LOC121824265	pink
Ift27	Ift27	pink
LOC102921388	LOC102921388	pink
Tst	Tst	pink
Mpst	Mpst	pink
C1qtnf6	C1qtnf6	pink
Cdc42ep1	Cdc42ep1	pink
Triobp	Triobp	pink
C20H22orf23	C20H22orf23	pink
Sox10	Sox10	pink
Desi1	Desi1	pink
Prr5	Prr5	pink
Upk3a	Upk3a	pink
Ppara	Ppara	pink
Mlc1	Mlc1	pink
Gxylt1	Gxylt1	pink
Tmem117	Tmem117	pink
Gpd1	Gpd1	pink
Galnt6	Galnt6	pink
LOC121824324	LOC121824324	pink
Mog	Mog	pink
LOC121824851	LOC121824851	pink
LOC143266773	LOC143266773	pink
LOC102925173	LOC102925173	pink
LOC143270006	LOC143270006	pink
Ddah2	Ddah2	pink
LOC143270008	LOC143270008	pink
LOC102922156	LOC102922156	pink
LOC143269908	LOC143269908	pink
LOC143269909	LOC143269909	pink
LOC102906108	LOC102906108	pink
C21H6orf89	C21H6orf89	pink
Zfand3	Zfand3	pink
LOC143270042	LOC143270042	pink
Ggt5	Ggt5	pink
Reep3	Reep3	pink
Tspan15	Tspan15	pink
LOC121824790	LOC121824790	pink
Vsir	Vsir	pink
Chst3	Chst3	pink
Sowahc	Sowahc	pink
Septin10	Septin10	pink
Pp2d1	Pp2d1	pink
LOC143269936	LOC143269936	pink
Oard1	Oard1	pink
Treml1	Treml1	pink
Slc35b2	Slc35b2	pink
Enpp4	Enpp4	pink
Adgrf5	Adgrf5	pink
Pkhd1	Pkhd1	pink
Paqr8	Paqr8	pink
Arhgef4	Arhgef4	pink
Hmg20b	Hmg20b	pink
Plpp2	Plpp2	pink
LOC102918515	LOC102918515	pink
LOC121826268	LOC121826268	pink
LOC143270203	LOC143270203	pink
LOC143270181	LOC143270181	pink
Fam228a	Fam228a	pink
LOC102904769	LOC102904769	pink
Ubxn2a	Ubxn2a	pink
Slc66a3	Slc66a3	pink
LOC107401673	LOC107401673	pink
LOC143270072	LOC143270072	pink
Fez2	Fez2	pink
Galm	Galm	pink
Cox7a2l	Cox7a2l	pink
Haao	Haao	pink
LOC143270086	LOC143270086	pink
LOC107402891	LOC107402891	pink
LOC143270099	LOC143270099	pink
LOC143270173	LOC143270173	pink
Foxn2	Foxn2	pink
Pxmp2	Pxmp2	pink
Crybb3	Crybb3	pink
Alkbh2	Alkbh2	pink
Gltp	Gltp	pink
Pebp1	Pebp1	pink
LOC121825420	LOC121825420	pink
LOC143270485	LOC143270485	pink
Rilpl1	Rilpl1	pink
Znf664	Znf664	pink
Phkg1	Phkg1	pink
Kctd7	Kctd7	pink
LOC107402092	LOC107402092	pink
Trip6	Trip6	pink
Tsc22d4	Tsc22d4	pink
Mcm7	Mcm7	pink
LOC102922385	LOC102922385	pink
Micall2	Micall2	pink
Mafk	Mafk	pink
Lfng	Lfng	pink
Gna12	Gna12	pink
LOC143270656	LOC143270656	pink
LOC102909324	LOC102909324	pink
Znf358	Znf358	pink
Pex11g	Pex11g	pink
LOC143270526	LOC143270526	pink
Il13ra1	Il13ra1	pink
LOC121825945	LOC121825945	pink
Atg4a	Atg4a	pink
Plp1	Plp1	pink
Magt1	Magt1	pink
Gjb1	Gjb1	pink
Foxo4	Foxo4	pink
Prrg1	Prrg1	pink
Gpm6b	Gpm6b	pink
Ofd1	Ofd1	pink
CXHXorf38	CXHXorf38	pink
Mid1ip1	Mid1ip1	pink
Otc	Otc	pink
Pcsk1n	Pcsk1n	pink
Gpr143	Gpr143	pink
EI127_mgp02	EI127_mgp02	pink
