fromNode	toNode	weight	direction	fromAltName	toAltName
LOC102905670	Cwf19l2	0.140412549825306	undirected	LOC102905670	Cwf19l2
LOC102905670	LOC102928241	0.235123787894231	undirected	LOC102905670	LOC102928241
LOC102905670	LOC102928525	0.107137782839113	undirected	LOC102905670	LOC102928525
LOC102905670	Tmem123	0.141206251150543	undirected	LOC102905670	Tmem123
LOC102905670	Birc3	0.108212233394415	undirected	LOC102905670	Birc3
LOC102905670	Bkgd	0.193437340094232	undirected	LOC102905670	Bkgd
LOC102905670	Naalad2	0.164170433335709	undirected	LOC102905670	Naalad2
LOC102905670	Znf317	0.158418277939185	undirected	LOC102905670	Znf317
LOC102905670	LOC143274191	0.311438015808358	undirected	LOC102905670	LOC143274191
LOC102905670	Tmed1	0.147762795619028	undirected	LOC102905670	Tmed1
LOC102905670	Swsap1	0.111024392142789	undirected	LOC102905670	Swsap1
LOC102905670	LOC121830763	0.166985302760853	undirected	LOC102905670	LOC121830763
LOC102905670	Elof1	0.18203836152506	undirected	LOC102905670	Elof1
LOC102905670	LOC143274198	0.330701444426723	undirected	LOC102905670	LOC143274198
LOC102905670	LOC143274199	0.105153847822879	undirected	LOC102905670	LOC143274199
LOC102905670	LOC143274170	0.183425636779355	undirected	LOC102905670	LOC143274170
LOC102905670	LOC121830772	0.106941500537751	undirected	LOC102905670	LOC121830772
LOC102905670	LOC143274098	0.16507924761427	undirected	LOC102905670	LOC143274098
LOC102905670	Glb1l2	0.212207233591758	undirected	LOC102905670	Glb1l2
LOC102905670	Thyn1	0.134489510523885	undirected	LOC102905670	Thyn1
LOC102905670	Tirap	0.126569736933316	undirected	LOC102905670	Tirap
LOC102905670	Foxred1	0.128787084170844	undirected	LOC102905670	Foxred1
LOC102905670	Ccdc15	0.124669650762403	undirected	LOC102905670	Ccdc15
LOC102905670	Esam	0.107175784407481	undirected	LOC102905670	Esam
LOC102905670	Tecta	0.159496582778688	undirected	LOC102905670	Tecta
LOC102905670	Nherf4	0.152011840440445	undirected	LOC102905670	Nherf4
LOC102905670	Hmbs	0.213285325091799	undirected	LOC102905670	Hmbs
LOC102905670	Trappc4	0.174359327655064	undirected	LOC102905670	Trappc4
LOC102905670	Jaml	0.204672381976351	undirected	LOC102905670	Jaml
LOC102905670	Il10ra	0.102346662228596	undirected	LOC102905670	Il10ra
