"Gene","Analysis.ID","Relatedness","adjusted_expression"
"Znf274","F2Fc_Rep8","50",3.61820130863989
"Znf274","F2Fm_Rep1","50",5.45983910278144
"Znf274","F2Fm_Rep2","50",4.17168960133689
"Znf274","F2Fm_Rep3","50",4.21346270967769
"Znf274","F2Fm_Rep4","50",3.87688477651631
"Znf274","F2Fm_Rep5","50",5.20290410354762
"Znf274","F2Fm_Rep6","50",4.5549051297511
"Znf274","F2Fm_Rep7","50",4.25901382912611
"Znf274","F2Fm_Rep8","50",3.87366039172601
"Znf274","F2Mc_Rep1","50",4.36949688568285
"Znf274","F2Mc_Rep2","50",4.76320038038391
"Znf274","F2Mc_Rep3","50",4.47380496074417
"Znf274","F2Mc_Rep4","50",4.81048093668882
"Znf274","F2Mc_Rep5","50",4.57450072347784
"Znf274","F2Mc_Rep6","50",4.50247429996777
"Znf274","F2Mc_Rep7","50",5.55443251891254
"Znf274","F2Mc_Rep8","50",4.42549277406158
"Znf274","F2Mm_Rep1","50",4.90814828931131
"Znf274","F2Mm_Rep2","50",3.98093381142693
"Znf274","F2Mm_Rep4","50",4.57818374598311
"Znf274","F2Mm_Rep5","50",4.42472878120489
"Znf274","F2Mm_Rep6","50",3.89183592701502
"Znf274","F2Mm_Rep7","50",5.14289593329959
"Znf274","F2Mm_Rep8","50",5.30746406428499
"LOC102908513","F1Fc_Rep1","0",4.84659154811772
"LOC102908513","F1Fc_Rep2","0",4.33176911104088
"LOC102908513","F1Fc_Rep3","0",3.79880830726463
"LOC102908513","F1Fc_Rep4","0",7.00016106964655
"LOC102908513","F1Fc_Rep5","0",6.26632901780436
"LOC102908513","F1Fc_Rep6","0",8.27847070255356
"LOC102908513","F1Fc_Rep7","0",4.70673105942132
"LOC102908513","F1Fc_Rep8","0",4.59949606260923
"LOC102908513","F1Fm_Rep1","0",5.72024853878353
"LOC102908513","F1Fm_Rep2","0",4.93016156308271
"LOC102908513","F1Fm_Rep3","0",2.66807144957405
"LOC102908513","F1Fm_Rep4","0",7.76544084735196
"LOC102908513","F1Fm_Rep5","0",6.73864312185795
"LOC102908513","F1Fm_Rep6","0",7.49998993326673
"LOC102908513","F1Fm_Rep7","0",4.36223467582589
"LOC102908513","F1Fm_Rep8","0",3.56355806627887
"LOC102908513","F1Mc_Rep1","0",3.42724717226158
"LOC102908513","F1Mc_Rep2","0",3.65653662097169
"LOC102908513","F1Mc_Rep3","0",2.55515343524368
"LOC102908513","F1Mc_Rep4","0",5.64730544479324
"LOC102908513","F1Mc_Rep5","0",4.72438710883062
"LOC102908513","F1Mc_Rep6","0",3.17337609791927
"LOC102908513","F1Mc_Rep7","0",4.60190594591366
"LOC102908513","F1Mc_Rep8","0",6.30830783576312
"LOC102908513","F1Mm_Rep1","0",2.65661231777796
"LOC102908513","F1Mm_Rep2","0",3.76377839680522
"LOC102908513","F1Mm_Rep3","0",3.44544510962938
"LOC102908513","F1Mm_Rep4","0",5.36610451282768
"LOC102908513","F1Mm_Rep5","0",4.67362990843463
"LOC102908513","F1Mm_Rep6","0",3.37733647676249
"LOC102908513","F1Mm_Rep7","0",5.2927705982379
"LOC102908513","F1Mm_Rep8","0",6.48341642038589
"LOC102908513","F2Fc_Rep1","50",5.78101746690394
"LOC102908513","F2Fc_Rep2","50",10.9059553248734
"LOC102908513","F2Fc_Rep3","50",3.89804022491688
"LOC102908513","F2Fc_Rep4","50",9.87303919141555
"LOC102908513","F2Fc_Rep5","50",9.80371241616101
"LOC102908513","F2Fc_Rep7","50",2.6602535504722
"LOC102908513","F2Fc_Rep8","50",4.20960487381978
"LOC102908513","F2Fm_Rep1","50",7.83817332498173
"LOC102908513","F2Fm_Rep2","50",8.0117598869604
"LOC102908513","F2Fm_Rep3","50",1.74426466722261
"LOC102908513","F2Fm_Rep4","50",8.10819570073771
"LOC102908513","F2Fm_Rep5","50",8.38439212331502
"LOC102908513","F2Fm_Rep6","50",10.5942736096099
"LOC102908513","F2Fm_Rep7","50",2.65408640445254
"LOC102908513","F2Fm_Rep8","50",3.81953899735835
"LOC102908513","F2Mc_Rep1","50",7.20174545462066
"LOC102908513","F2Mc_Rep2","50",7.94039053704992
"LOC102908513","F2Mc_Rep3","50",8.5047851238003
"LOC102908513","F2Mc_Rep4","50",10.4603463994727
"LOC102908513","F2Mc_Rep5","50",7.10287376793012
"LOC102908513","F2Mc_Rep6","50",7.57684380278454
"LOC102908513","F2Mc_Rep7","50",5.97340097087641
"LOC102908513","F2Mc_Rep8","50",5.54842719242841
"LOC102908513","F2Mm_Rep1","50",10.321932210863
"LOC102908513","F2Mm_Rep2","50",8.52498919159922
"LOC102908513","F2Mm_Rep4","50",10.6234960533794
"LOC102908513","F2Mm_Rep5","50",6.91301861540283
"LOC102908513","F2Mm_Rep6","50",6.19705098008263
"LOC102908513","F2Mm_Rep7","50",8.16726525467904
"LOC102908513","F2Mm_Rep8","50",5.15313388015368
"Vasp","F1Fc_Rep1","0",9.08743543580309
"Vasp","F1Fc_Rep2","0",10.8777483417525
"Vasp","F1Fc_Rep3","0",10.3001047942588
"Vasp","F1Fc_Rep4","0",9.75124777763456
"Vasp","F1Fc_Rep5","0",9.59957684035725
"Vasp","F1Fc_Rep6","0",10.8419566763278
"Vasp","F1Fc_Rep7","0",11.0429471249995
"Vasp","F1Fc_Rep8","0",9.81249502448756
"Vasp","F1Fm_Rep1","0",9.43830357251474
"Vasp","F1Fm_Rep2","0",9.93819901735354
"Vasp","F1Fm_Rep3","0",11.6767735292276
"Vasp","F1Fm_Rep4","0",10.7812157885798
"Vasp","F1Fm_Rep5","0",10.6541383667699
"Vasp","F1Fm_Rep6","0",8.43233806191473
"Vasp","F1Fm_Rep7","0",9.66558453127234
"Vasp","F1Fm_Rep8","0",10.4497429703479
"Vasp","F1Mc_Rep1","0",10.7712239570417
"Vasp","F1Mc_Rep2","0",11.5866349358356
"Vasp","F1Mc_Rep3","0",11.0014129282098
"Vasp","F1Mc_Rep4","0",12.3519323958011
"Vasp","F1Mc_Rep5","0",10.4774814834297
"Vasp","F1Mc_Rep6","0",9.69874235544405
"Vasp","F1Mc_Rep7","0",11.0677349147062
"Vasp","F1Mc_Rep8","0",10.9395596433958
